"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Documentation of actual combat operations",
"(U) ","FIS","(U) ","Items indicating FIS involvement in target group combat operations",
"(U) ","Logistics","(U) ","Items related to support of combat ops, things like supplying transportation, fuel, etc.",
"(U) ","Logo","(U) ","Combat Operations items that have a logo or flag embedded",
"(U) ","Martyrdom","(U) ","Documents related to actual or planned martyrdom operations",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Active planning for combat operations",
"(U) ","Reporting","(U) ","Reporting related to all phases of combat operations and training for combat",
"(U) ","Training","(U) ","Combat training materials created by target organization and documentation of that training",

