"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Items in a communication channel",
"(U) ","Cryptography","(U) ","Encrypted items and encryption related software or training materials, includes steganography",
"(U) ","FIS","(U) ","Items related to FIS communications",
"(U) ","Logistics","(U) ","Documents related to acquisition, storage and distribution of computers and/or communications resources",
"(U) ","Logo","(U) ","Communications items that have a logo or flag embedded",
"(U) ","Operations","(U) ","Items presenting a target group's operational use (trade craft) of computers and communications, things like SOPs, code books, call signs etc.",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Planning with respect to target group's future computer acquisitions and employment",
"(U) ","R&D","(U) ","R&D related to a target groups computer and communications employment",
"(U) ","Reporting","(U) ","Reporting related to communications operations and training",
"(U) ","Training","(U) ","Computer and communications training materials created by target organization",

