"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Documentation of hostage operations: victim capture, torture and/or confinement",
"(U) ","FIS","(U) ","Items indicating FIS involvement in a target group's hostage(s)",
"(U) ","Logistics","(U) ","Items related to Logistics related to hostage operations",
"(U) ","Logo","(U) ","Hostage Operations items that have a logo or flag embedded",
"(U) ","Non-US Citizen","(U) ","Information related to captive Non-US Citizens",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Items related to planning for hostage operations",
"(U) ","Proof of Life","(U) ","Proof of life items, largely videos and still photos",
"(U) ","Reporting","(U) ","Reporting related to all phases of hostage operations",
"(U) ","US Person","(U) ","Information related to captive US Citizens",

