"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Biographic data","(U) ","Collection of biographic data for an organization -- from target organization or from LE",
"(U) ","Biometric data","(U) ","Collection of biometric data for an organization -- from target organization or from LE",
"(U) ","Facilitation","(U) ","Items related to processing, transportation or infiltration of individuals attached to an organization",
"(U) ","FIS","(U) ","Items related to FIS personnel",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","MAMS","(U) ","Photos of Military Age Males with faces easily visible",
"(U) ","Organization","(U) ","Items related to the Organizational Hierarchy of a target organization",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Records","(U) ","Records of personnel associated with an organization",
"(U) ","US Person","(U) ","One or more US persons' data identified in item",

