"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Items related to the production and distribution operations: photos of any set, distribution network, etc.",
"(U) ","FIS","(U) ","Items indicating FIS involvement in a target group's propaganda",
"(U) ","Logo","(U) ","Propaganda items that have logos or flags embedded",
"(U) ","Martyrdom","(U) ","Propaganda to justify and/or encourage martyrdom",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Production","(U) ","Items related to construction of propaganda: preproduction notes, raw video, tools, project files, etc.",
"(U) ","Products","(U) ","Items produced for distribution as propaganda",
"(U) ","Religious","(U) ","Religious propaganda to justify actions",
"(U) ","Reporting","(U) ","Reporting related to propaganda, likely status reports",
"(U) ","Training","(U) ","Training in using propaganda to support an insurgency or terrorist movement",
"(U) ","US Person","(U) ","US Person found in any propaganda related items",

