"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Documentation of recruitment activities: meetings with prospects, recorded presentations, etc",
"(U) ","Facilitation","(U) ","Items related to getting recruits to training or entry point for area of employment",
"(U) ","FIS","(U) ","Items related to recruitment by a FIS",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","Martyrdom","(U) ","Items used for recruitment of individuals for Martyrdom operations",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Personnel","(U) ","Records of personnel recruitment efforts: recruiters, facilitation, prospects, etc.",
"(U) ","Religious","(U) ","Religious documents being used for recruitment",
"(U) ","Reporting","(U) ","Reporting related to recruitment of fighters for terrorism or criminal activity",
"(U) ","Training","(U) ","Training items to teach recruiters and facilitators",

