"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ITOS-I","(U) ","FBI -- Federal Bureau of Investigation (CONUS)",
"(U) ","ITOS-II","(U) ","FBI -- Federal Bureau of Investigation (FUSION CELLS)",
"(U) ","CEAU","(U) ","FBI -- Federal Bureau of Investigation",
"(U) ","CIOS","(U) ","FBI -- Federal Bureau of Investigation",
"(U) ","CXS","(U) ","FBI -- Federal Bureau of Investigation",
"(U) ","TFOS","(U) ","FBI -- Federal Bureau of Investigation",
"(U) ","STAS","(U) ","FBI -- Federal Bureau of Investigation",
"(U) ","LEGATs","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Abu Dhabi","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Accra","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Addis Ababa","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Algiers","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Amman","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Ankara","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Astana","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Athens","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Baghdad","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Bangkok","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Beijing","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Berlin","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Bern","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Bogota","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Brasilia","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Bridgetown","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Brussels","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Bucharest","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Buenos Aires","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Cairo","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Canberra","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Caracas","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATsCopenhagen","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Dakar","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Doha","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Hong Kong","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Islamabad","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Jakarta","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Kabul","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Kuala Lumpur","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Kyiv","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Lagos","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/London","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Madrid","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Manila","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Mexico City","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Moscow","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Mairobi","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/New Delhi","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Ottawa","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Panama City","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Paris","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Phnom Pehn","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Pretoria","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Rabat","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Riga","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Riyadh","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Rome","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/San Juan","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/San Salvador","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Sanaa","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Santiago","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Santo Domingo","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Sarajevo","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Seoul","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Singapore","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Sofia","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Tbilisi","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Tel Aviv","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/The Hague","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Tokyo","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Vienna","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Warsaw","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","FO/Albany","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Albuquerque","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Anchorage","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Atlanta","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Baltimore","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Birmingham","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Boston","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Buffalo","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Charlotte","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Chicago","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Cincinnati","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Cleveland","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Columbia","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Dallas","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
