"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","202MI","(U) ","202MI -- 202nd Military Intelligence Battalion",
"(U) ","300MI","(U) ","300MI -- 300th Military Intelligence Brigade",
"(U) ","470MI","(U) ","470MI -- 470th Military Intelligence Brigade",
"(U) ","500MI","(U) ","500MI -- 500th Military Intelligence Brigade",
"(U) ","513MI","(U) ","513MI -- 513th Military Intelligence Brigade",
"(U) ","524MI","(U) ","524MI -- 524th Military Intelligence Battalion",
"(U) ","66MI","(U) ","66MI -- 66th MI Group",
"(U) ","ARMY","(U) ","ARMY - UNITED STATES ARMY",
"(U) ","BIMA","(U) ","BIMA -- Biometrics Identity Management Agency",
"(U) ","INSCOM","(U) ","INSCOM -- US Army Intelligence and Security Command",
"(U) ","NGIC","(U) ","NGIC -- National Ground Intelligence Center",
"(U) ","RLSP","(U) ","RLSP -- Reach Language Support Program",

