"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Case Number","(U) ","None provided",
"(U) ","Detainee Number","(U) ","None provided",
"(U) ","Harmony Series End","(U) ","None provided",
"(U) ","Harmony Series Start","(U) ","None provided",
"(U) ","IOC Requirement Number","(U) ","None provided",
"(U) ","ISN","(U) ","None provided",
"(U) ","LOO/Series","(U) ","None provided",
"(U) ","Technical Control Number","(U) ","None provided",
"(U) ","CEXC #","(U) ","None provided",
"(U) ","JEFF #","(U) ","None provided",
"(U) ","SIGACT #","(U) ","None provided",
"(U) ","WIT #","(U) ","None provided",

