"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AC","(U) ","ACCEPTED",
"(U) ","AP","(U) ","ACCOMPLISHED",
"(U) ","AR","(U) ","AWAITING RESOURCES",
"(U) ","AS","(U) ","ASSIGNED",
"(U) ","AU","(U) ","AWAITING UPLOAD",
"(U) ","CR","(U) ","CANCELLED BY REQUEST",
"(U) ","EM","(U) ","EXTERNALLY MANAGED",
"(U) ","FF","(U) ","FULFILLED",
"(U) ","LD","(U) ","LEGACY DATA",
"(U) ","NA","(U) ","NOT ACCEPTED",
"(U) ","RV","(U) ","REVIEW",
"(U) ","UP","(U) ","UNPROCESSED",

