"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","RD","(U) ","Hierarchy: AEA, RESTRICTED DATA",
"(U) ","CNWDI","(U) ","Hierarchy: AEA-RD, CRITICAL NUCLEAR WEAPON DESIGN INFORMATION",
"(U) ","NATO-C","(U) ","Hierarchy: NATO, NATO CONFIDENTIAL Readon",
"(U) ","NATO-TS","(U) ","Hierarchy: NATO, NATO COSMIC TOP SECRET Readon",
"(U) ","NATO-R","(U) ","Hierarchy: NATO, NATO RESTRICTED Readon",
"(U) ","NATO-S","(U) ","Hierarchy: NATO, NATO SECRET Readon",
"(U) ","NATO-ATOMAL","(U) ","Hierarchy: NATO, NATO-ATOMAL",
"(U) ","NATO-BALK","(U) ","Hierarchy: NATO, NATO-BALK",
"(U) ","NATO-BOHEMIA","(U) ","Hierarchy: NATO, NATO-BOHEMIA",
"(U) ","HCS-X","(U) ","Hierarchy: SCI, HUMINT External",
"(U) ","HCS-O","(U) ","Hierarchy: SCI, HUMINT OPERATIONS",
"(U) ","HCS-P","(U) ","Hierarchy: SCI, HUMINT PRODUCT",
"(U) ","TK","(U) ","Hierarchy: SCI, Talent-Keyhole",
"(U) ","BUR","(U) ","Hierarchy: SCI-BUR, BUR",
"(U) ","BUR-BLG","(U) ","Hierarchy: SCI-BUR, BUR-BLG",
"(U) ","BUR-DTP","(U) ","Hierarchy: SCI-BUR, BUR-DTP",
"(U) ","BUR-WRG","(U) ","Hierarchy: SCI-BUR, BUR-WRG",
"(U) ","HCS","(U) ","Hierarchy: SCI-HCS, HUMINT",
"(U) ","KLM","(U) ","Hierarchy: SCI-KLM, KLAMATH",
"(U) ","KLM-R","(U) ","Hierarchy: SCI-KLM, KLAMATH-R",
"(U) ","MVL","(U) ","Hierarchy: SCI-MVL, MARVEL",
"(U) ","SI","(U) ","Hierarchy: SCI-SI, Special Intelligence",
"(U) ","SI-EU","(U) ","Hierarchy: SCI-SI, Special Intelligence-ECRU",
"(U) ","SI-G","(U) ","Hierarchy: SCI-SI, Special Intelligence-GAMMA",
"(U) ","SI-NK","(U) ","Hierarchy: SCI-SI, Special Intelligence-Nonbook",
"(U) ","TK-BLFH","(U) ","Hierarchy: SCI-TK, Talent Keyhole-Bluefish",
"(U) ","TK-IDIT","(U) ","Hierarchy: SCI-TK, Talent Keyhole-Iditarod",
"(U) ","TK-KAND","(U) ","Hierarchy: SCI-TK, Talent Keyhole-Kandik",

