"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","aar","(U) ","Afar",
"(U) ","abk","(U) ","Abkhazian",
"(U) ","ace","(U) ","Achinese",
"(U) ","ach","(U) ","Acoli",
"(U) ","ada","(U) ","Adangme",
"(U) ","ady","(U) ","Adyghe",
"(U) ","afa","(U) ","Afro-Asiatic languages",
"(U) ","afh","(U) ","Afrihili",
"(U) ","afr","(U) ","Afrikaans",
"(U) ","ain","(U) ","Ainu (Japan)",
"(U) ","aka","(U) ","Akan",
"(U) ","akk","(U) ","Akkadian",
"(U) ","alb","(U) ","Bibliographic applications trigraph for Albanian",
"(U) ","ale","(U) ","Aleut",
"(U) ","alg","(U) ","Algonquian languages",
"(U) ","alt","(U) ","Southern Altai",
"(U) ","amh","(U) ","Amharic",
"(U) ","ang","(U) ","Old English (ca. 450-1100)",
"(U) ","anp","(U) ","Angika",
"(U) ","apa","(U) ","Apache languages",
"(U) ","ara","(U) ","Arabic",
"(U) ","arc","(U) ","Official Aramaic (700-300 BCE)",
"(U) ","arg","(U) ","Aragonese",
"(U) ","arm","(U) ","Bibliographic applications trigraph for Armenian",
"(U) ","arn","(U) ","Mapudungun",
"(U) ","arp","(U) ","Arapaho",
"(U) ","art","(U) ","Artificial languages",
"(U) ","arw","(U) ","Arawak",
"(U) ","asm","(U) ","Assamese",
"(U) ","ast","(U) ","Asturian",
"(U) ","ath","(U) ","Athapascan languages",
"(U) ","aus","(U) ","Australian languages",
"(U) ","ava","(U) ","Avaric",
"(U) ","ave","(U) ","Avestan",
"(U) ","awa","(U) ","Awadhi",
"(U) ","aym","(U) ","Aymara",
"(U) ","aze","(U) ","Azerbaijani",
"(U) ","bad","(U) ","Banda languages",
"(U) ","bai","(U) ","Bamileke languages",
"(U) ","bak","(U) ","Bashkir",
"(U) ","bal","(U) ","Baluchi",
"(U) ","bam","(U) ","Bambara",
"(U) ","ban","(U) ","Balinese",
"(U) ","baq","(U) ","Bibliographic applications trigraph for Basque",
"(U) ","bas","(U) ","Basa (Cameroon)",
"(U) ","bat","(U) ","Baltic languages",
"(U) ","bej","(U) ","Beja",
"(U) ","bel","(U) ","Belarusian",
"(U) ","bem","(U) ","Bemba (Zambia)",
"(U) ","ben","(U) ","Bengali",
"(U) ","ber","(U) ","Berber languages",
"(U) ","bho","(U) ","Bhojpuri",
"(U) ","bih","(U) ","Bihari languages",
"(U) ","bik","(U) ","Bikol",
"(U) ","bin","(U) ","Bini",
"(U) ","bis","(U) ","Bislama",
"(U) ","bla","(U) ","Siksika",
"(U) ","bnt","(U) ","Bantu (Other)",
"(U) ","bod","(U) ","Terminology applications trigraph for Tibetan",
"(U) ","bos","(U) ","Bosnian",
"(U) ","bra","(U) ","Braj",
"(U) ","bre","(U) ","Breton",
"(U) ","btk","(U) ","Batak languages",
"(U) ","bua","(U) ","Buriat",
"(U) ","bug","(U) ","Buginese",
"(U) ","bul","(U) ","Bulgarian",
"(U) ","bur","(U) ","Bibliographic applications trigraph for Burmese",
"(U) ","byn","(U) ","Bilin",
"(U) ","cad","(U) ","Caddo",
"(U) ","cai","(U) ","Central American Indian languages",
"(U) ","car","(U) ","Galibi Carib",
"(U) ","cat","(U) ","Catalan",
"(U) ","cau","(U) ","Caucasian languages",
"(U) ","ceb","(U) ","Cebuano",
"(U) ","cel","(U) ","Celtic languages",
"(U) ","ces","(U) ","Terminology applications trigraph for Czech",
"(U) ","cha","(U) ","Chamorro",
"(U) ","chb","(U) ","Chibcha",
"(U) ","che","(U) ","Chechen",
"(U) ","chg","(U) ","Chagatai",
"(U) ","chi","(U) ","Bibliographic applications trigraph for Chinese",
"(U) ","chk","(U) ","Chuukese",
"(U) ","chm","(U) ","Mari (Russia)",
"(U) ","chn","(U) ","Chinook jargon",
"(U) ","cho","(U) ","Choctaw",
"(U) ","chp","(U) ","Chipewyan",
"(U) ","chr","(U) ","Cherokee",
"(U) ","chu","(U) ","Church Slavic",
"(U) ","chv","(U) ","Chuvash",
"(U) ","chy","(U) ","Cheyenne",
"(U) ","cmc","(U) ","Chamic languages",
"(U) ","cop","(U) ","Coptic",
"(U) ","cor","(U) ","Cornish",
"(U) ","cos","(U) ","Corsican",
"(U) ","cpe","(U) ","Creoles and pidgins, English based",
"(U) ","cpf","(U) ","Creoles and pidgins, French-based ",
"(U) ","cpp","(U) ","Creoles and pidgins, Portuguese-based ",
"(U) ","cre","(U) ","Cree",
"(U) ","crh","(U) ","Crimean Tatar",
"(U) ","crp","(U) ","Creoles and pidgins ",
"(U) ","csb","(U) ","Kashubian",
"(U) ","cus","(U) ","Cushitic languages",
"(U) ","cym","(U) ","Terminology applications trigraph for Welsh",
"(U) ","cze","(U) ","Bibliographic applications trigraph for Czech",
"(U) ","dak","(U) ","Dakota",
"(U) ","dan","(U) ","Danish",
"(U) ","dar","(U) ","Dargwa",
"(U) ","day","(U) ","Land Dayak languages",
"(U) ","del","(U) ","Delaware",
"(U) ","den","(U) ","Slave (Athapascan)",
"(U) ","deu","(U) ","Terminology applications trigraph for German",
"(U) ","dgr","(U) ","Dogrib",
"(U) ","din","(U) ","Dinka",
"(U) ","div","(U) ","Dhivehi",
"(U) ","doi","(U) ","Dogri (macrolanguage)",
"(U) ","dsb","(U) ","Lower Sorbian",
"(U) ","dra","(U) ","Dravidian languages",
"(U) ","dua","(U) ","Duala",
"(U) ","dum","(U) ","Middle Dutch (ca. 1050-1350)",
"(U) ","dut","(U) ","Bibliographic applications trigraph for Dutch",
"(U) ","dyu","(U) ","Dyula",
"(U) ","dzo","(U) ","Dzongkha",
"(U) ","efi","(U) ","Efik",
"(U) ","egy","(U) ","Egyptian (Ancient)",
"(U) ","eka","(U) ","Ekajuk",
"(U) ","ell","(U) ","Terminology applications trigraph for Modern Greek (1453-)",
"(U) ","elx","(U) ","Elamite",
"(U) ","eng","(U) ","English",
