"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ACGU","(U) ","FOUR EYES",
"(U) ","AMSP","(U) ","AFRICOM Multinational Strategic Partners",
"(U) ","AOSC","(U) ","Athens Olympics Security Coalition",2005-12-12
"(U) ","APFS","(U) ","African Peacekeeping Force Somalia",
"(U) ","ASEA","(U) ","Association of Southeast Asian Nations (ASEAN)",
"(U) ","AUSTRALIA_GROUP","(U) ","Australia Group",
"(U) ","BHTF","(U) ","Boko Haram Task Force",2015-10-27
"(U) ","BWCS","(U) ","Biological Weapons Convention States",
"(U) ","CFCK","(U) ","Combined Forces Command Korea",
"(U) ","CFOD","(U) ","Coalition Forces Odyssey Dawn",2016-03-17
"(U) ","CFUP","(U) ","Coalition Forces Unified Protector",2016-03-17
"(U) ","CLFC","(U) ","Combined Libya Fusion Cell",
"(U) ","CMFC","(U) ","Combined Maritime Forces Central",
"(U) ","CMFP","(U) ","Cooperative Maritime Forces Pacific",
"(U) ","CPMT","(U) ","Civilian Protection Monitoring Team for Sudan",
"(U) ","CTOC","(U) ","Countering Transnational Organized Crime",
"(U) ","CWCS","(U) ","Chemical Weapons Convention States",
"(U) ","ECTF","(U) ","European Counter-Terrorism Forces",2016-03-17
"(U) ","EFOR","(U) ","European Union Stabilization Forces in Bosnia",2016-03-17
"(U) ","EU","(U) ","European Union",
"(U) ","EUDA","(U) ","European Union DARFUR",2016-03-17
"(U) ","FRME","(U) ","Counter Violent Extremist Organizations Framework Partners",
"(U) ","FVEY","(U) ","FIVE EYES",
"(U) ","GCCH","(U) ","Gulf Cooperation Council",
"(U) ","GCTF","(U) ","Global Counter-Terrorism Forces",2016-03-17
"(U) ","GFNX","(U) ","Global Foreign Terrorist Fighter Network Exchange",
"(U) ","GMIF","(U) ","Global Maritime Interception Forces",
"(U) ","IESC","(U) ","International Events Security Coalition",2016-03-17
"(U) ","IMSC","(U) ","International Maritime Security Construct",
"(U) ","IMSP","(U) ","INDOPACOM Multinational Strategic Partners",
"(U) ","IPMC","(U) ","INDO PACIFIC Maritime Call",
"(U) ","IRKS","(U) ","Inherent Resolve Kinetic Support",
"(U) ","ISAF","(U) ","International Security Assistance Force for Afghanistan",2016-03-17
"(U) ","ISSG","(U) ","International Syria Support Group",
"(U) ","KFOR","(U) ","Stabilization Forces in Kosovo",
"(U) ","MCFI","(U) ","Multinational Coalition Forces-Iraq",2016-03-17
"(U) ","MESF","(U) ","Middle East Stability Force",
"(U) ","MGEU","(U) ","Multinational GEOINT Europe",
"(U) ","MIFH","(U) ","Multinational Interim Force Haiti",2016-03-17
"(U) ","MLEC","(U) ","Multi-Lateral Enduring Contingency",
"(U) ","MNTF","(U) ","Multinational Task Force",
"(U) ","MPFL","(U) ","Multinational Peacekeeping Forces",2016-03-17
"(U) ","NACT","(U) ","North African Counter-Terrorism Forces",
"(U) ","NATO","(U) ","North Atlantic Treaty Organization",
"(U) ","NATO:[a-zA-Z\-_]{1,256}","(U) ","North Atlantic Treaty Organization Special Words",
"(U) ","NCFE","(U) ","NATO CFE Treaty on Conventional Armed Forces in Europe",
"(U) ","NKIC","(U) ","North Korea Intelligence Coalition",
"(U) ","NRDC","(U) ","NORDIC",
"(U) ","NSG","(U) ","Nuclear Suppliers' Group",
"(U) ","OSAG","(U) ","Olympic Security Advisory Group",2016-03-17
"(U) ","OSTY","(U) ","Open Skies Treaty",
"(U) ","PAWA","(U) ","Partnership for Actions in West Africa",
"(U) ","PGMF","(U) ","Persian Gulf Multinational Forces",2016-03-17
"(U) ","PSMX","(U) ","Pacific Security Monitoring Exchange",
"(U) ","RISC","(U) ","Russia Intelligence Sharing Coalition",
"(U) ","RSMA","(U) ","Resolute Support Mission Afghanistan",2021-11-03
"(U) ","SFOR","(U) ","Stabilization Force",2016-03-17
"(U) ","SOFP","(U) ","Special Operations Forces Partners",
"(U) ","SPAA","(U) ","SOF Planning Activities in Afghanistan (also called ""11-Eyes"")",2021-11-03
"(U) ","TEYE","(U) ","THREE EYES",
"(U) ","TFTC","(U) ","Terrorist Financing Targeting Center",
"(U) ","UNCK","(U) ","United Nations Command, Korea",

