"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AFce","(U) ","Africa, Central",
"(U) ","AFea","(U) ","Africa, East",
"(U) ","AFno","(U) ","Africa, North",
"(U) ","AFso","(U) ","Africa, Southern",
"(U) ","AFwe","(U) ","Africa, West",
"(U) ","AMca","(U) ","Americas, Caribbean",
"(U) ","AMce","(U) ","Americas, Central",
"(U) ","AMno","(U) ","Americas, North",
"(U) ","AMso","(U) ","Americas, South",
"(U) ","AMan","(U) ","Americas, Antarctica",
"(U) ","ASea","(U) ","Asia, East",
"(U) ","ASse","(U) ","Asia, South East",
"(U) ","ASso","(U) ","Asia, South",
"(U) ","EAca","(U) ","Eurasia, Caucasus",
"(U) ","EAce","(U) ","Eurasia, Central",
"(U) ","EAru","(U) ","Eurasia, Russia",
"(U) ","EUba","(U) ","Europe, Balkans",
"(U) ","EUce","(U) ","Europe, Central",
"(U) ","EUno","(U) ","Europe, North",
"(U) ","EUso","(U) ","Europe, South",
"(U) ","MEme","(U) ","Middle East",
"(U) ","OCoc","(U) ","Oceania",
"(U) ","ANAN","(U) ","ANAN",

