"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","cal₁₅","(U) ","15 °C calorie",
"(U) ","acre","(U) ","acre",
"(U) ","A","(U) ","ampere",
"(U) ","A·h","(U) ","ampere hour",
"(U) ","A/cm","(U) ","ampere per centimetre",
"(U) ","A/kg","(U) ","ampere per kilogram",
"(U) ","A/m","(U) ","ampere per metre",
"(U) ","A/mm","(U) ","ampere per millimetre",
"(U) ","A/cm²","(U) ","ampere per square centimetre",
"(U) ","A/m²","(U) ","ampere per square metre",
"(U) ","A/(m²·K²)","(U) ","ampere per square metre kelvin squared",
"(U) ","A/mm²","(U) ","ampere per square millimetre",
"(U) ","A·s","(U) ","ampere second",
"(U) ","A·m²","(U) ","ampere square metre",
"(U) ","A·m²/(J·s)","(U) ","ampere square metre per joule second",
"(U) ","A²·s","(U) ","ampere squared second",
"(U) ","Å","(U) ","angstrom",
"(U) ","a","(U) ","are",
"(U) ","ua","(U) ","astronomical unit",
"(U) ","aF","(U) ","attofarad",
"(U) ","aJ","(U) ","attojoule",
"(U) ","bar","(U) ","bar [unit of pressure]",
"(U) ","bar·m³/s","(U) ","bar cubic metre per second",
"(U) ","bar·l/s","(U) ","bar litre per second",
"(U) ","bar/bar","(U) ","bar per bar",
"(U) ","bar/K","(U) ","bar per kelvin",
"(U) ","b","(U) ","barn",
"(U) ","b/eV","(U) ","barn per electronvolt",
"(U) ","b/sr","(U) ","barn per steradian",
"(U) ","b/(sr·eV)","(U) ","barn per steradian electronvolt",
"(U) ","bbl (UK liq.)","(U) ","barrel (UK petroleum)",
"(U) ","bbl (UK liq.)/d","(U) ","barrel (UK petroleum) per day",
"(U) ","bbl (UK liq.)/h","(U) ","barrel (UK petroleum) per hour",
"(U) ","bbl (UK liq.)/min","(U) ","barrel (UK petroleum) per minute",
"(U) ","bbl (UK liq.)/s","(U) ","barrel (UK petroleum) per second",
"(U) ","bbl (US)/h","(U) ","barrel (US petroleum) per hour",
"(U) ","bbl (US)/s","(U) ","barrel (US petroleum) per second",
"(U) ","barrel (US)","(U) ","barrel (US)",
"(U) ","barrel (US)/min","(U) ","barrel (US) per minute",
"(U) ","Bq","(U) ","becquerel",
"(U) ","Bq/m³","(U) ","becquerel per cubic metre",
"(U) ","Bq/kg","(U) ","becquerel per kilogram",
"(U) ","BHP","(U) ","brake horse power",
"(U) ","BtuIT","(U) ","British thermal unit (international table)",
"(U) ","BtuIT·ft/(h·ft²·°F)","(U) ","British thermal unit (international table) foot per hour square foot degree Fahrenheit",
"(U) ","BtuIT·in/(h·ft²·°F)","(U) ","British thermal unit (international table) inch per hour square foot degree Fahrenheit",
"(U) ","BtuIT·in/(s·ft²·°F)","(U) ","British thermal unit (international table) inch per second square foot degree Fahrenheit",
"(U) ","BtuIT/h","(U) ","British thermal unit (international table) per hour",
"(U) ","BtuIT/(h·ft²·°R)","(U) ","British thermal unit (international table) per hour square foot degree Rankine",
"(U) ","BtuIT/min","(U) ","British thermal unit (international table) per minute",
"(U) ","BtuIT/lb","(U) ","British thermal unit (international table) per pound",
"(U) ","BtuIT/(lb·°F)","(U) ","British thermal unit (international table) per pound degree Fahrenheit",
"(U) ","Btu/IT(lb·°R)","(U) ","British thermal unit (international table) per pound degree Rankine",
"(U) ","BtuIT/s","(U) ","British thermal unit (international table) per second",
"(U) ","BtuIT/(s·ft·°R)","(U) ","British thermal unit (international table) per second foot degree Rankine",
"(U) ","BtuIT/(s·ft²·°R)","(U) ","British thermal unit (international table) per second square foot degree Rankine",
"(U) ","Btu","(U) ","British thermal unit (mean)",
