"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Reporting related to all phases of criminal activities",
"(U) ","Drug trafficking","(U) ","Items related to Drug trafficking",
"(U) ","Extortion","(U) ","Items related to Extortion",
"(U) ","Homicide","(U) ","Items that show activities related to homicide",
"(U) ","Human Trafficking","(U) ","Items related to Human Trafficking",
"(U) ","Logistics","(U) ","Items related to general support to criminal activities: transportation, supplies, etc.",
"(U) ","Logo","(U) ","Criminal Activities items that have a logo or flag embedded",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Items related to planning criminal activities",
"(U) ","Reporting","(U) ","Reporting on all facets of criminal activities",
"(U) ","Robbery","(U) ","Items related to Robbery",
"(U) ","Training","(U) ","Items used to train operatives in criminal enterprises",

