"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Items showing an individual's activities of interest but unrelated to a target group",
"(U) ","Biographic data","(U) ","Biographical data tied directly to an individual",
"(U) ","Biological Weapons","(U) ","Items showing an individual's direct connection to biological weapons",
"(U) ","Biometric data","(U) ","Biometric data tied directly to an individual",
"(U) ","Chemical Weapons","(U) ","Items showing an individual's direct connection to Chemical Weapons",
"(U) ","Drug trafficking","(U) ","Items showing an individual's direct connection to Drug trafficking",
"(U) ","Explosives","(U) ","Items showing an individual's direct connection to explosives acquisition or production",
"(U) ","Extortion","(U) ","Items showing an individual's direct connection to Extortion",
"(U) ","Facilitation","(U) ","Items showing an individual's direct connection to facilitation support for a target group",
"(U) ","FIS","(U) ","Items identifying an individual's connection to a FIS",
"(U) ","Human Trafficking","(U) ","Items showing an individual's direct connection to Human Trafficking",
"(U) ","MAMS","(U) ","Items showing an individual is a military aged male",
"(U) ","Martyrdom","(U) ","Items showing an individual's direct connection to suicide operations",
"(U) ","Non-US Citizen","(U) ","Items showing individual is not a US Citizen",
"(U) ","Nuclear Weapons","(U) ","Items showing an individual's direct connection to nuclear or radiological weapons",
"(U) ","Operations","(U) ","Items showing an individual's activities related to a target group",
"(U) ","Organization","(U) ","Items showing an individual's direct connection to a target organization",
"(U) ","Personal Communications","(U) ","Items used for personal communication",
"(U) ","Proof of Life","(U) ","Items that provide Proof of Life for an individual",
"(U) ","Records","(U) ","Items related to an individual's persona",
"(U) ","Reporting","(U) ","Reporting about an individual by others",
"(U) ","Robbery","(U) ","Items showing an individual's direct connection to Robbery",
"(U) ","Training","(U) ","Items from an individual describing training",
"(U) ","US Person","(U) ","Items showing individual is a US Citizen",

