"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Combat Operations","(U) ","Used to tag objects where the preponderance of the content is related to Combat operations of a target group",
"(U) ","Communications","(U) ","Used to tag objects where the preponderance of the content is related to communications of a target group",
"(U) ","Criminal Activities","(U) ","Used to tag objects where the preponderance of the content is related to Criminal Activities of a target group",
"(U) ","Finance","(U) ","Used to tag objects where the preponderance of the content is related to financial matters of a target group",
"(U) ","Hostage Operations","(U) ","Used to tag objects where the preponderance of the content is related to one or more hostages",
"(U) ","Individual","(U) ","Used to tag objects where the preponderance of the content is related to an individual",
"(U) ","Personnel Management","(U) ","Used to tag objects where the preponderance of the content is related to the management of a target staff",
"(U) ","Planning, General","(U) ","Used to tag objects where the preponderance of the content is related to planning of a target group",
"(U) ","Propaganda Production and Distribution","(U) ","Used to tag objects where the preponderance of the content is related to the production, distribution or final products related to propaganda",
"(U) ","Recruitment Operations","(U) ","Used to tag objects where the preponderance of the content is related to recruitment, training, facilitation and travel to place of employment",
"(U) ","Religious","(U) ","Used to tag objects where the preponderance of the content is related to a Religion",
"(U) ","Weapons of Mass Destruction","(U) ","Used to tag objects where the preponderance of the content is related to Weapons of Mass Destruction",
"(U) ","Weapons, Cyber","(U) ","Used to tag objects where the preponderance of the content is related to cyber Weapons (hacking tools)",
"(U) ","Weapons, Improvised","(U) ","Used to tag objects where the preponderance of the content is related to improvised weapons.  This category doesn't include commercially manufactured ",
"(U) ","Weapons, Manufactured","(U) ","Used to tag objects where the preponderance of the content is related to commercially manufactured weapons.  This category doesn't include Improvised ",

