"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Items related to emplacement, delivery or actual utilization of improvised weapons",
"(U) ","Explosives","(U) ","Items related to precursors for or production of HME",
"(U) ","FIS","(U) ","Items indicating FIS involvement with improvised weapons",
"(U) ","Logistics","(U) ","Documents related to acquisition of components, construction, storage and distribution of improvised weapons",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","Martyrdom","(U) ","Documents related to Martyrs as part of a weapon system (i.e. suicide vests)",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Items related to planning for logistics, training, or R&D connected to Improvised weapons",
"(U) ","Production","(U) ","Items related to construction of improvised weapons",
"(U) ","R&D","(U) ","Research & development documents for improvised weapons",
"(U) ","Reporting","(U) ","Reporting in the production or use of improvised weapons",
"(U) ","Training","(U) ","Training in production or use of improvised weapons",

