"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Explosives","(U) ","Items related to acquisition or use of commercially available explosives",
"(U) ","Heavy Weapons","(U) ","Items related to acquisition or use of commercially available Heavy Weapons",
"(U) ","Logistics","(U) ","Documents related to acquisition, storage and distribution of weapons",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Planning","(U) ","Items related to planning for logistics or training connected to commercial weapons",
"(U) ","Reporting","(U) ","Reporting related to commercially available weapons, like inventories or requests for weapons or ammo",
"(U) ","Small Arms","(U) ","Items related to acquisition or use of commercially available Small Arms",
"(U) ","Training","(U) ","Items related to training with commercial weapons",

