"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Items related to emplacement, delivery or actual utilization of WMD",
"(U) ","Biological Weapons","(U) ","Information related to biological weapons.",
"(U) ","Chemical Weapons","(U) ","Information related to chemical weapons.",
"(U) ","Explosives","(U) ","Items related to exploisives in WMD",
"(U) ","FIS","(U) ","Items indicating FIS involvement with WMD",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","Nuclear Weapons","(U) ","Information related to nuclear or radiological weapons",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Production","(U) ","Items related to construction of Weapons of Mass Destruction (WMD)",
"(U) ","R&D","(U) ","Items related to R&D for WMD",
"(U) ","Reporting","(U) ","Reporting related to WMD, likely status reports",
"(U) ","Training","(U) ","Training items related to WMD production or employment",

