"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","DCHC","(U) ","Defense Counterintelligence and HUMINT Center",
"(U) ","CEA","(U) ","DIA -- China and East Asia Program",
"(U) ","DHM-2A","(U) ","DIA -- DOCEX SUPPORT SERVICES",
"(U) ","DHX","(U) ","DIA -- DOCEX",
"(U) ","FOB/K","(U) ","DIA -- FOB-Korea",
"(U) ","LAN","(U) ","DIA -- LAN",
"(U) ","NMEC-5","(U) ","Office of DIA DOCEX Operations",
"(U) ","NMECO1","(U) ","DIA/NMECO1",
"(U) ","JITF/CT","(U) ","JITF-CT -- Joint Intelligence Task Force-CT",
"(U) ","MSIC","(U) ","MSIC -- Missile and Space Intelligence Center",
"(U) ","NMEC","(U) ","NMEC -- National Media Exploitation Center",

