"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AFRICOM","(U) ","AFRICOM -- US African Command",
"(U) ","CENTCOM","(U) ","CENTCOM -- US Central Command",
"(U) ","CENTCOM/USFOR-A","(U) ","CENTCOM -- US Central Command",
"(U) ","CIFA","(U) ","CIFA -- Counterintelligence Field Activity",
"(U) ","DC3","(U) ","Defense Cyber Crime Center",
"(U) ","DC3/DCCI","(U) ","DoD Cyber Crime Institute",
"(U) ","DC3/DCFL","(U) ","DoD Computer Forensic Laboratory",
"(U) ","DC3/DCFL/MCS","(U) ","DoD Computer Forensic Laboratory/Major Crimes and Safety",
"(U) ","DC3/DCFL/I","(U) ","DoD Computer Forensic Laboratory/Intrusions",
"(U) ","DC3/DCFL/CI-CT","(U) ","DoD Computer Forensic Laboratory/Counterintelligence and Counterterrorism",
"(U) ","DC3/DCFL/NMEC","(U) ","DoD Computer Forensic Laboratory/NMEC Operating Location",
"(U) ","DC3/NCIJTF-AG","(U) ","Defense Cyber Crime Center/National Cyber Investigative Joint Task Force - Analytic Group",
"(U) ","DC3/DCISE","(U) ","Defense Cyber Crime Center/DoD-DIB Collaborative Information Sharing Environment",
"(U) ","EUCOM","(U) ","EUCOM -- US European Command",
"(U) ","GTMO","(U) ","GTMO -- Joint Task Force Guantanamo",
"(U) ","JFCOM","(U) ","JFCOM -- US Joint Forces Command",
"(U) ","JFMC","(U) ","JFMC -- Project Chuckwagon",
"(U) ","JIATF","(U) ","JIATF -- Joint Inter Agency Task Force",
"(U) ","JIEDDO","(U) ","JIEDDO -- Joint Improvised Explosive Device Defeat Organization",
"(U) ","JPRC","(U) ","JPRC -- Joint Personnel Recovery Center",
"(U) ","KFOR","(U) ","KFOR -- NATO Forces in Kosovo",
"(U) ","MNCI","(U) ","MNC-I -- Multi National Corp Iraq",
"(U) ","MNF-I","(U) ","MNF-I -- Multi National Force Iraq",
"(U) ","NATO/EUFOR","(U) ","NATO-EUFOR -- NATO European Union Force",
"(U) ","NORTHCOM","(U) ","NORTHCOM -- US Northern Command",
"(U) ","PACOM","(U) ","PACOM -- US Pacific Command",
"(U) ","PACOM/USFK","(U) ","PACOM -- US Pacific Command",
"(U) ","SFOR","(U) ","SFOR -- Stabilization Force",
"(U) ","SOCOM","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/CNT","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/CMB","(U) ","SOCOM -- US Special Operations Command - Computer Modeling Branch",
"(U) ","SOCOM/CMaB","(U) ","SOCOM -- US Special Operations Command - Counter Marcoterrorism Branch",
"(U) ","SOCOM/CTB","(U) ","SOCOM -- US Special Operations Command - Counter Terror Branch",
"(U) ","SOCOM/CTFB","(U) ","SOCOM -- US Special Operations Command - Counter Threat Finance Branch",
"(U) ","SOCOM/DSB","(U) ","SOCOM -- US Special Operations Command - Direct Support Branch",
"(U) ","SOCOM/ED","(U) ","SOCOM -- US Special Operations Command - Exploitation Division",
"(U) ","SOCOM/EB","(U) ","SOCOM -- US Special Operations Command - External Branch",
"(U) ","SOCOM/FD","(U) ","SOCOM -- US Special Operations Command - Fusion Division",
"(U) ","SOCOM/IATF","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/ITB","(U) ","SOCOM -- US Special Operations Command - Illicit Trafficking Branch",
"(U) ","SOCOM/IntB","(U) ","SOCOM -- US Special Operations Command - Integration Branch",
"(U) ","SOCOM/IB","(U) ","SOCOM -- US Special Operations Command - Intel Branch",
"(U) ","SOCOM/J1","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J2","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J3","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J4","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J5","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J6","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J7-J9","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/J8","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/JSOC","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/OB","(U) ","SOCOM -- US Special Operations Command - Ops Branch",
"(U) ","SOCOM/OD","(U) ","SOCOM -- US Special Operations Command - Outreach Division",
"(U) ","SOCOM/PB","(U) ","SOCOM -- US Special Operations Command - Production Branch",
"(U) ","SOCOM/RAB","(U) ","SOCOM -- US Special Operations Command - Research and Analysis Branch",
"(U) ","SOCOM/SOSTs","(U) ","SOCOM -- US Special Operations Command",
"(U) ","SOCOM/SPD","(U) ","SOCOM -- US Special Operations Command - Special Projects Division",
"(U) ","SOCOM/SB","(U) ","SOCOM -- US Special Operations Command - Strategic Branch",
"(U) ","SOCOM/SD","(U) ","SOCOM -- US Special Operations Command - Synchronization Division",
"(U) ","SOFFC","(U) ","SOFFC -- Special Operations Forces Fusion Cell",
"(U) ","SOUTHCOM","(U) ","SOUTHCOM -- US Southern Command",
"(U) ","STRATCOM","(U) ","STRATCOM -- US Strategic Command",
"(U) ","STRATCOM/USCYBERCOM","(U) ","STRATCOM -- US Strategic Command",
"(U) ","TRANSCOM","(U) ","None Provided",
"(U) ","USFI","(U) ","USFI -- United States Forces in Iraq",
"(U) ","USFK","(U) ","USFK -- United states Forces in Korea",

