"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AC","(U) ","ARMY POSTCARD",
"(U) ","AD","(U) ","ADDRESS/PHONE BOOK",
"(U) ","AI","(U) ","ALBUM OF ILLUSTRATIONS",
"(U) ","AP","(U) ","ADMINISTRATIVE PUBLICATION",
"(U) ","AR","(U) ","ARTICLE",
"(U) ","BC","(U) ","BROADCAST",
"(U) ","BK","(U) ","BOOK",
"(U) ","BP","(U) ","BLUEPRINT",
"(U) ","BR","(U) ","BROCHURE",
"(U) ","BU","(U) ","BUSINESS CARD",
"(U) ","BY","(U) ","BIOGRAPHY",
"(U) ","CA","(U) ","CATALOG",
"(U) ","CC","(U) ","CREDIT/BANK CARD",
"(U) ","CD","(U) ","CONTRACT DOCUMENTATION",
"(U) ","CF","(U) ","COMMERCIAL FORM",
"(U) ","CI","(U) ","COMBAT INSTRUCTIONS",
"(U) ","CL","(U) ","CODES LISTING",
"(U) ","CO","(U) ","COLLECTION",
"(U) ","CP","(U) ","CONFERENCES/SYMPOSIA/PROCEEDING",
"(U) ","CR","(U) ","CARGO DOCUMENT",
"(U) ","CW","(U) ","CREW LIST",
"(U) ","CX","(U) ","CELLEX REPORT",
"(U) ","DI","(U) ","DICTIONARY",
"(U) ","DL","(U) ","DOCUMENTS LIST",
"(U) ","DP","(U) ","DIARY/DAILY PLANNER",
"(U) ","DT","(U) ","DISSERTATION/THESIS",
"(U) ","EC","(U) ","ELECTRONIC COMM (EMAIL,CHAT ROOM,ETC)",
"(U) ","EG","(U) ","EQUIPMENT GUIDE",
"(U) ","EP","(U) ","EQUIPMENT PASSPORT/CERTIFICATE",
"(U) ","EV","(U) ","EVIDENCE",
"(U) ","FC","(U) ","FINGERPRINT CARD",
"(U) ","FI","(U) ","FOREIGN INTELLIGENCE REPORT",
"(U) ","FR","(U) ","FINANCIAL RECORDS",
"(U) ","FX","(U) ","FACSIMILE",
"(U) ","GF","(U) ","GOVERNMENT FORM",
"(U) ","HB","(U) ","HANDBOOK",
"(U) ","HN","(U) ","HANDWRITTEN NOTES/NOTEBOOK",
"(U) ","HS","(U) ","HANDWRITING SAMPLE",
"(U) ","HY","(U) ","HARMONY NUMBER",
"(U) ","IC","(U) ","INCOMING POSTCARD",
"(U) ","II","(U) ","ICRC INCOMING FORM",
"(U) ","IL","(U) ","INCOMING LETTER",
"(U) ","IM","(U) ","IMAGERY",
"(U) ","IN","(U) ","INTERVIEW",
"(U) ","IO","(U) ","ICRC OUTGOING FORM",
"(U) ","IP","(U) ","IMMIGRATION/CUSTOMS PAPERS",
"(U) ","IS","(U) ","ISSUE",
"(U) ","LB","(U) ","LOGBOOK",
"(U) ","LE","(U) ","LETTER",
"(U) ","LP","(U) ","MISCELLANEOUS LOOSE PAPER",
"(U) ","LT","(U) ","LECTURE/BRIEFING",
"(U) ","MD","(U) ","MEETING DOCUMENTATION",
"(U) ","ME","(U) ","MESSAGE",
"(U) ","MI","(U) ","MILITARY ID",
"(U) ","MN","(U) ","MISCELLANEOUS NON-TECHNICAL DOCUMENT",
"(U) ","MO","(U) ","MILITARY ORDERS",
"(U) ","MP","(U) ","MAP",
"(U) ","MR","(U) ","MEDICAL RECORDS",
"(U) ","MS","(U) ","MISCELLANEOUS SERIAL",
"(U) ","MT","(U) ","MISCELLANEOUS TECHNICAL DOCUMENTATION",
"(U) ","MV","(U) ","MILITARY INVENTORY",
"(U) ","MX","(U) ","MEDEX REPORT",
"(U) ","NE","(U) ","NAMED ENTITY SOURCE TEXT",
"(U) ","NV","(U) ","NAVIGATION DOCUMENT",
"(U) ","OC","(U) ","ORGANIZATIONAL CHART CHARTER",
"(U) ","OI","(U) ","OPERATING INSTRUCTIONS",
"(U) ","OL","(U) ","OUTGOING LETTER",
"(U) ","OP","(U) ","OUTGOING POSTCARD",
"(U) ","PA","(U) ","PATENTS",
"(U) ","PC","(U) ","PHONE CARD",
"(U) ","PD","(U) ","PRODUCTION DRAWING",
"(U) ","PE","(U) ","PERIODICAL",
"(U) ","PF","(U) ","PERSONNEL FILE",
"(U) ","PH","(U) ","PHOTOGRAPH",
"(U) ","PI","(U) ","PERSONAL IDENTIFICATION",
"(U) ","PK","(U) ","POCKET LITTER",
"(U) ","PL","(U) ","PARTS LIST",
"(U) ","PO","(U) ","POETRY",
"(U) ","PP","(U) ","PASSPORT/CERTIFICATE",
"(U) ","PR","(U) ","POLICE REPORT",
"(U) ","PS","(U) ","PRIMARY SOURCE",
"(U) ","PX","(U) ","PERSONNEL ROSTER",
"(U) ","PZ","(U) ","PRESS RELEASE",
"(U) ","RA","(U) ","RADIOGRAM",
"(U) ","RD","(U) ","REPAIR DRAWING",
"(U) ","RE","(U) ","RELIGIOUS TEXT",
"(U) ","RF","(U) ","RADIOFREQUENCY LIST",
"(U) ","RG","(U) ","SHIP REGISTRATION",
"(U) ","RM","(U) ","REPAIR AND MAINTENANCE MANUAL",
"(U) ","RT","(U) ","RANGE/FIRING TABLE",
"(U) ","SC","(U) ","SCIENTIFIC AND TECHNICAL",
"(U) ","SD","(U) ","SCHEMATIC DIAGRAM",
"(U) ","SL","(U) ","SCHOOL RECORDS",
"(U) ","SP","(U) ","SPARE PARTS, TOOLS AND ACCESSORIES LIST",
"(U) ","ST","(U) ","STUDY",
"(U) ","TA","(U) ","TACTICAL HANDBOOK",
"(U) ","TB","(U) ","TRIBAL INFORMATION",
"(U) ","TD","(U) ","TECHNICAL DESCRIPTION/BULLETIN",
"(U) ","TE","(U) ","TERRORIST RELATED DOCUMENT",
"(U) ","TG","(U) ","TAGS/LABELS",
"(U) ","TI","(U) ","TRANSPORTATION INSTRUCTIONS",
"(U) ","TM","(U) ","TRAINING DOCUMENT/MANUAL",
"(U) ","TN","(U) ","TRANSLATION",
"(U) ","TP","(U) ","TELEPHONE RECORDS",
"(U) ","TR","(U) ","TEST REPORT",
"(U) ","TS","(U) ","TECHNICAL SPECIFICATIONS",
"(U) ","TV","(U) ","TRAVEL DOCUMENT",
"(U) ","WB","(U) ","WEBSITE",
"(U) ","UnrecognizedLOV","(U) ","Hold space for new LOV's received from the field",

