"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AA","(U) ","None provided",
"(U) ","BA","(U) ","None provided",
"(U) ","BS","(U) ","None provided",
"(U) ","DD","(U) ","None provided",
"(U) ","DDiv","(U) ","None provided",
"(U) ","HS","(U) ","None provided",
"(U) ","LLD","(U) ","None provided",
"(U) ","MA","(U) ","None provided",
"(U) ","MD","(U) ","None provided",
"(U) ","MS","(U) ","None provided",
"(U) ","PhD","(U) ","None provided",
"(U) ","Other","(U) ","None provided",

