"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","OCR","(U) ","OCR Output",
"(U) ","XT","(U) ","Extracted Text",
"(U) ","SCN","(U) ","Scanned Images",
"(U) ","ELC","(U) ","Electronic Files",
"(U) ","IDX","(U) ","Index",
"(U) ","OTR","(U) ","Other",
"(U) ","MT","(U) ","Machine Translation",
"(U) ","HT","(U) ","Human Translation",
"(U) ","D2CXT","(U) ","D2C Extracted Text",
"(U) ","MAP","(U) ","Map Image",
"(U) ","PIC","(U) ","Photos",
"(U) ","EE","(U) ","Extracted Entity Index",
"(U) ","VKF","(U) ","Video Key Frames",
"(U) ","DASXML","(U) ","D2C Imported DAS Files",
"(U) ","PEDREPORT","(U) ","D2C Imported PED Report",
"(U) ","TSETREPORT","(U) ","D2C Imported TSET Report",
"(U) ","RPT","(U) ","Report Files",
"(U) ","PHIND","(U) ","Phonetic Index",
"(U) ","STRCP","(U) ","Streamable Copy",

