"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Drivers License","(U) ","None provided",
"(U) ","Fishing License","(U) ","None provided",
"(U) ","Hunters License","(U) ","None provided",
"(U) ","Mariners License","(U) ","None provided",
"(U) ","Pilots License","(U) ","None provided",
"(U) ","Marriage License","(U) ","None provided",
"(U) ","Birth Certificate","(U) ","None provided",
"(U) ","Passport","(U) ","None provided",
"(U) ","Visa","(U) ","None provided",

