"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Unknown","(U) ","Unknown",
"(U) ","Cannot tell","(U) ","Cannot tell",
"(U) ","Analog audio tape","(U) ","Analog audio tape",
"(U) ","Analog video tape","(U) ","Analog video tape",
"(U) ","Beta","(U) ","Beta Tape",
"(U) ","BD","(U) ","Blu-Ray Disc",
"(U) ","CASS","(U) ","Cassette, Analog audio or video",
"(U) ","CD","(U) ","Compact Disc",
"(U) ","Cellphone","(U) ","Cellphone",
"(U) ","CF","(U) ","Compact Flash Card",
"(U) ","DMP","(U) ","Digital Media Player",
"(U) ","DVD","(U) ","Digital Video Disc",
"(U) ","DigCam","(U) ","Digital Camera",
"(U) ","Docs","(U) ","Printed Document",
"(U) ","FD","(U) ","Floppy Disc",
"(U) ","FILM","(U) ","Film (Photographic)",
"(U) ","GPS","(U) ","GPS Device",
"(U) ","HD","(U) ","Hard Drive",
"(U) ","M2","(U) ","M2 Memory Stick Micro",
"(U) ","MMC","(U) ","MMC Memory Card",
"(U) ","MS","(U) ","Memory Stick",
"(U) ","MicroSD","(U) ","MicroSD Memory Card",
"(U) ","Other","(U) ","Other media type not listed",
"(U) ","RS-MMC","(U) ","Reduced size MMC",
"(U) ","SD","(U) ","SD Memory Card",
"(U) ","SIM","(U) ","SIM Card",
"(U) ","Smrtphone","(U) ","Smart Phone",
"(U) ","Solid state device","(U) ","Solid State Device",
"(U) ","Source Sensitive","(U) ","Source device is sensitive",
"(U) ","TD","(U) ","Thumb Drive",
"(U) ","USB","(U) ","USB Device",
"(U) ","VHS","(U) ","None provided",
"(U) ","Video Camera","(U) ","Video Camera",
"(U) ","VCR","(U) ","Video Cassette Recorder",

