"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Height","(U) ","None provided",
"(U) ","Weight","(U) ","None provided",
"(U) ","Mark","(U) ","None provided",
"(U) ","Scar","(U) ","None provided",
"(U) ","Tattoo","(U) ","None provided",
"(U) ","Characteristic","(U) ","None provided",
"(U) ","Disability","(U) ","None provided",
"(U) ","Blood Type","(U) ","None provided",
"(U) ","Build","(U) ","None provided",
"(U) ","Clothing","(U) ","None provided",
"(U) ","Complexion","(U) ","None provided",
"(U) ","Ethnicity","(U) ","None provided",
"(U) ","Eye Color","(U) ","None provided",
"(U) ","Eye Description","(U) ","None provided",
"(U) ","Eyewear","(U) ","None provided",
"(U) ","Facial Hair","(U) ","None provided",
"(U) ","Fingerprint Classification","(U) ","None provided",
"(U) ","Hair Color","(U) ","None provided",
"(U) ","Hair Description","(U) ","None provided",
"(U) ","Height Description","(U) ","None provided",
"(U) ","Race","(U) ","None provided",
"(U) ","Skin Tone","(U) ","None provided",
"(U) ","Other","(U) ","None provided",

