"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Is Brother-In-Law Of","(U) ","None provided",
"(U) ","Is Child Of","(U) ","None provided",
"(U) ","Is Married To","(U) ","None provided",
"(U) ","Is Parent Of","(U) ","None provided",
"(U) ","Sibling Of","(U) ","None provided",
"(U) ","Is Aunt Of","(U) ","None provided",
"(U) ","Is Brother Of","(U) ","None provided",
"(U) ","Is Cousin Of","(U) ","None provided",
"(U) ","Is Daughter-In-Law Of","(U) ","None provided",
"(U) ","Is Daughter Of","(U) ","None provided",
"(U) ","Is Ex-Husband Of","(U) ","None provided",
"(U) ","Is Ex-Wife Of","(U) ","None provided",
"(U) ","Is Father Of","(U) ","None provided",
"(U) ","Is Father-In-Law Of","(U) ","None provided",
"(U) ","Is Granddaughter Of","(U) ","None provided",
"(U) ","Is Grandfather Of","(U) ","None provided",
"(U) ","Is Grandmother Of","(U) ","None provided",
"(U) ","Is Grandson Of","(U) ","None provided",
"(U) ","Is Husband Of","(U) ","None provided",
"(U) ","Is Mother Of","(U) ","None provided",
"(U) ","Is Mother-In-Law Of","(U) ","None provided",
"(U) ","Is Nephew Of","(U) ","None provided",
"(U) ","Is Niece of ","(U) ","None provided",
"(U) ","Is Relative Of","(U) ","None provided",
"(U) ","Is Sister Of","(U) ","None provided",
"(U) ","Is Sister-In-Law of","(U) ","None provided",
"(U) ","Is Son-In-Law Of","(U) ","None provided",
"(U) ","Is Son Of","(U) ","None provided",
"(U) ","Is Uncle Of","(U) ","None provided",
"(U) ","Is Wife Of","(U) ","None provided",
"(U) ","Is Step-Mother Of","(U) ","None provided",
"(U) ","Is Step-Father Of","(U) ","None provided",
"(U) ","Is Step-Parent Of","(U) ","None provided",
"(U) ","Is Step-Daughter Of","(U) ","None provided",
"(U) ","Is Step-Son of","(U) ","None provided",
"(U) ","Is Step-Child Of","(U) ","None provided",
"(U) ","Is Step-Sister Of","(U) ","None provided",
"(U) ","Is Step-Brother Of","(U) ","None provided",
"(U) ","Is Step-Sibling Of","(U) ","None provided",
"(U) ","Is Spouse Of","(U) ","None provided",
"(U) ","Is Grandparent Of","(U) ","None provided",
"(U) ","Is Grandchild Of","(U) ","None provided",
"(U) ","Is Ex-Spouse Of","(U) ","None provided",
"(U) ","Employed by","(U) ","None provided",
"(U) ","Is Officer of","(U) ","None provided",
"(U) ","Works In","(U) ","None provided",
"(U) ","Subordinate To","(U) ","None provided",
"(U) ","Senior To","(U) ","None provided",
"(U) ","Has Education","(U) ","None provided",
"(U) ","Conferred By","(U) ","None provided",
"(U) ","Is a Member Of","(U) ","None provided",
"(U) ","Is Located At","(U) ","None provided",
"(U) ","Location Seen At","(U) ","None provided",
"(U) ","Detained","(U) ","None provided",
"(U) ","Resides At","(U) ","None provided",
"(U) ","At Large","(U) ","None provided",
"(U) ","Escaped From","(U) ","None provided",
"(U) ","Receives Funds From","(U) ","None provided",
"(U) ","Supplies Funds To","(U) ","None provided",
"(U) ","Traveled To","(U) ","None provided",
"(U) ","Is Phone Contact Of","(U) ","None provided",
"(U) ","Communicates With","(U) ","None provided",
"(U) ","Contacts","(U) ","None provided",
"(U) ","Is Aware Of","(U) ","None provided",
"(U) ","Equate","(U) ","None provided",
"(U) ","Other Relationship","(U) ","None provided",
"(U) ","Related Equipment","(U) ","None provided",
"(U) ","Has Identity","(U) ","None provided",
"(U) ","Same As","(U) ","None provided",
"(U) ","Different From","(U) ","None provided",
"(U) ","Candidate Same As","(U) ","None provided",
"(U) ","Associated with Facility","(U) ","None provided",
"(U) ","Associated with Organization","(U) ","None provided",
"(U) ","Associated with Person","(U) ","None provided",
"(U) ","Acquaintance","(U) ","None provided",
"(U) ","Is Sponsored By","(U) ","None provided",
"(U) ","Sponsored","(U) ","None provided",
"(U) ","Is Petitioned By","(U) ","None provided",
"(U) ","Petitioned For","(U) ","None provided",
"(U) ","Visited","(U) ","None provided",
"(U) ","Attended","(U) ","None provided",
"(U) ","Applied To","(U) ","None provided",
"(U) ","Is Personal Friend Of","(U) ","None provided",
"(U) ","Is Facebook Friend Of","(U) ","None provided",
"(U) ","Is Myspace Friend Of","(U) ","None provided",
"(U) ","Is Chat Friend Of","(U) ","None provided",
"(U) ","Is Other Friend Of","(U) ","None provided",

