"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Auto","(U) ","None provided",
"(U) ","Bicycle","(U) ","None provided",
"(U) ","Bus","(U) ","None provided",
"(U) ","Commercial Air","(U) ","None provided",
"(U) ","Commercial Truck","(U) ","None provided",
"(U) ","Commercial Vessel","(U) ","None provided",
"(U) ","Express Consignment","(U) ","None provided",
"(U) ","Fishing Vessel","(U) ","None provided",
"(U) ","Mail","(U) ","None provided",
"(U) ","Motorcycle","(U) ","None provided",
"(U) ","Pedestrian","(U) ","None provided",
"(U) ","Private Aircraft","(U) ","None provided",
"(U) ","Private Vessel","(U) ","None provided",
"(U) ","Train","(U) ","None provided",
"(U) ","Truck","(U) ","None provided",
"(U) ","Van","(U) ","None provided",
"(U) ","Other","(U) ","None provided",

