"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","MASINT:EO:IRINT","(U) ","MASINT:EO Domain: Infrared Intelligence"
"(U) ","MASINT:EO:LASINT","(U) ","MASINT:EO Domain: Laser Intelligence"
"(U) ","MASINT:EO:LASINT:ActiveIllumination","(U) ","MASINT:EO Domain: Laser Intelligence: Active Illumination"
"(U) ","MASINT:EO:Radiometric","(U) ","MASINT:EO Domain: Radiometric"
"(U) ","MASINT:EO:Spectral","(U) ","MASINT:EO Domain: Spectral"
"(U) ","MASINT:Geophysical:Acoustic","(U) ","MASINT:Geophysical Domain: Acoustic"
"(U) ","MASINT:Geophysical:Acoustic:Audible","(U) ","MASINT:Geophysical Domain: Acoustic: Audible"
"(U) ","MASINT:Geophysical:Acoustic:Infrasonic","(U) ","MASINT:Geophysical Domain: Acoustic: Infrasonic"
"(U) ","MASINT:Geophysical:Electric","(U) ","MASINT:Geophysical Domain: Electric"
"(U) ","MASINT:Geophysical:Electromagnetic","(U) ","MASINT:Geophysical Domain: Electromagnetic"
"(U) ","MASINT:Geophysical:Gravity","(U) ","MASINT:Geophysical Domain: Gravity"
"(U) ","MASINT:Geophysical:ACINT","(U) ","MASINT:Geophysical Domain: Hydroacoustic Intelligence"
"(U) ","MASINT:Geophysical:Magnetic","(U) ","MASINT:Geophysical Domain: Magnetic"
"(U) ","MASINT:Geophysical:Seismic","(U) ","MASINT:Geophysical Domain: Seismic"
"(U) ","MASINT:Materials:Biological","(U) ","MASINT:Materials Domain: Biological"
"(U) ","MASINT:Materials:Chemical","(U) ","MASINT:Materials Domain: Chemical"
"(U) ","MASINT:Materials:Explosive","(U) ","MASINT:Materials Domain: Explosive"
"(U) ","MASINT:Materials:Nuclear","(U) ","MASINT:Materials Domain: Nuclear"
"(U) ","MASINT:Materials:Radiological","(U) ","MASINT:Materials Domain: Radiological"
"(U) ","MASINT:NuclearRadiation:GammaRays","(U) ","MASINT:Nuclear Radiation Domain: Gamma-rays"
"(U) ","MASINT:NuclearRadiation:Neutrons","(U) ","MASINT:Nuclear Radiation Domain: Neutrons"
"(U) ","MASINT:NuclearRadiation:XRays","(U) ","MASINT:Nuclear Radiation Domain: X-rays"
"(U) ","MASINT:Radar:Bistatic","(U) ","MASINT:Radar Domain: Bistatic"
"(U) ","MASINT:Radar:LOS","(U) ","MASINT:Radar Domain: Line of Sight"
"(U) ","MASINT:Radar:OTH","(U) ","MASINT:Radar Domain: Over the Horizon"
"(U) ","MASINT:RF:DEW","(U) ","MASINT:Radio Frequency Domain: Direct Energy Weapon"
"(U) ","MASINT:RF:EMP","(U) ","MASINT:Radio Frequency Domain: Electromagnetic Pulse"
"(U) ","MASINT:RF:URE","(U) ","MASINT:Radio Frequency Domain: Unintentional Radiated Emission"
"(U) ","other:\S{1,256}","(U) ","Other intel discipline component technique. Must be the string 'other:' followed by the value specifying the other technique type."

