"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","aaa","(U) ","Ghotuo",
"(U) ","aab","(U) ","Alumu-Tesu",
"(U) ","aac","(U) ","Ari",
"(U) ","aad","(U) ","Amal",
"(U) ","aae","(U) ","Arbëreshë Albanian",
"(U) ","aaf","(U) ","Aranadan",
"(U) ","aag","(U) ","Ambrak",
"(U) ","aah","(U) ","Abu' Arapesh",
"(U) ","aai","(U) ","Arifama-Miniafia",
"(U) ","aak","(U) ","Ankave",
"(U) ","aal","(U) ","Afade",
"(U) ","aam","(U) ","Aramanik",
"(U) ","aan","(U) ","Anambé",
"(U) ","aao","(U) ","Algerian Saharan Arabic",
"(U) ","aap","(U) ","Pará Arára",
"(U) ","aaq","(U) ","Eastern Abnaki",
"(U) ","aar","(U) ","Afar",
"(U) ","aas","(U) ","Aasáx",
"(U) ","aat","(U) ","Arvanitika Albanian",
"(U) ","aau","(U) ","Abau",
"(U) ","aaw","(U) ","Solong",
"(U) ","aax","(U) ","Mandobo Atas",
"(U) ","aaz","(U) ","Amarasi",
"(U) ","aba","(U) ","Abé",
"(U) ","abb","(U) ","Bankon",
"(U) ","abc","(U) ","Ambala Ayta",
"(U) ","abd","(U) ","Camarines Norte Agta",
"(U) ","abe","(U) ","Western Abnaki",
"(U) ","abf","(U) ","Abai Sungai",
"(U) ","abg","(U) ","Abaga",
"(U) ","abh","(U) ","Tajiki Arabic",
"(U) ","abi","(U) ","Abidji",
"(U) ","abj","(U) ","Aka-Bea",
"(U) ","abk","(U) ","Abkhazian",
"(U) ","abl","(U) ","Lampung Nyo",
"(U) ","abm","(U) ","Abanyom",
"(U) ","abn","(U) ","Abua",
"(U) ","abo","(U) ","Abon",
"(U) ","abp","(U) ","Abenlen Ayta",
"(U) ","abq","(U) ","Abaza",
"(U) ","abr","(U) ","Abron",
"(U) ","abs","(U) ","Ambonese Malay",
"(U) ","abt","(U) ","Ambulas",
"(U) ","abu","(U) ","Abure",
"(U) ","abv","(U) ","Baharna Arabic",
"(U) ","abw","(U) ","Pal",
"(U) ","abx","(U) ","Inabaknon",
"(U) ","aby","(U) ","Aneme Wake",
"(U) ","abz","(U) ","Abui",
"(U) ","aca","(U) ","Achagua",
"(U) ","acb","(U) ","Áncá",
