"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","aa","(U) ","Afar",
"(U) ","ab","(U) ","Abkhazian",
"(U) ","ae","(U) ","Avestan",
"(U) ","af","(U) ","Afrikaans",
"(U) ","ak","(U) ","Akan",
"(U) ","am","(U) ","Amharic",
"(U) ","an","(U) ","Aragonese",
"(U) ","ar","(U) ","Arabic",
"(U) ","as","(U) ","Assamese",
"(U) ","av","(U) ","Avaric",
"(U) ","ay","(U) ","Aymara",
"(U) ","az","(U) ","Azerbaijani",
"(U) ","ba","(U) ","Bashkir",
"(U) ","be","(U) ","Belarusian",
"(U) ","bg","(U) ","Bulgarian",
"(U) ","bi","(U) ","Bislama",
"(U) ","bm","(U) ","Bambara",
"(U) ","bn","(U) ","Bengali",
"(U) ","bo","(U) ","Tibetan",
"(U) ","br","(U) ","Breton",
"(U) ","bs","(U) ","Bosnian",
"(U) ","ca","(U) ","Catalan",
"(U) ","ce","(U) ","Chechen",
"(U) ","ch","(U) ","Chamorro",
"(U) ","co","(U) ","Corsican",
"(U) ","cr","(U) ","Cree",
"(U) ","cs","(U) ","Czech",
"(U) ","cu","(U) ","Church Slavic",
"(U) ","cv","(U) ","Chuvash",
"(U) ","cy","(U) ","Welsh",
"(U) ","da","(U) ","Danish",
"(U) ","de","(U) ","German",
"(U) ","dv","(U) ","Dhivehi",
"(U) ","dz","(U) ","Dzongkha",
"(U) ","ee","(U) ","Ewe",
"(U) ","el","(U) ","Modern Greek (1453-)",
"(U) ","en","(U) ","English",
"(U) ","eo","(U) ","Esperanto",
"(U) ","es","(U) ","Spanish",
"(U) ","et","(U) ","Estonian",
"(U) ","eu","(U) ","Basque",
"(U) ","fa","(U) ","Persian",
"(U) ","ff","(U) ","Fulah",
"(U) ","fi","(U) ","Finnish",
"(U) ","fj","(U) ","Fijian",
"(U) ","fo","(U) ","Faroese",
"(U) ","fr","(U) ","French",
"(U) ","fy","(U) ","Western Frisian",
"(U) ","ga","(U) ","Irish",
"(U) ","gd","(U) ","Scottish Gaelic",
"(U) ","gl","(U) ","Galician",
"(U) ","gn","(U) ","Guarani",
"(U) ","gu","(U) ","Gujarati",
"(U) ","gv","(U) ","Manx",
"(U) ","ha","(U) ","Hausa",
"(U) ","he","(U) ","Hebrew",
"(U) ","hi","(U) ","Hindi",
"(U) ","ho","(U) ","Hiri Motu",
"(U) ","hr","(U) ","Croatian",
"(U) ","ht","(U) ","Haitian",
"(U) ","hu","(U) ","Hungarian",
"(U) ","hy","(U) ","Armenian",
"(U) ","hz","(U) ","Herero",
"(U) ","ia","(U) ","Interlingua (International Auxiliary Language Association)",
"(U) ","id","(U) ","Indonesian",
"(U) ","ie","(U) ","Interlingue",
"(U) ","ig","(U) ","Igbo",
"(U) ","ii","(U) ","Sichuan Yi",
"(U) ","ik","(U) ","Inupiaq",
"(U) ","io","(U) ","Ido",
"(U) ","is","(U) ","Icelandic",
"(U) ","it","(U) ","Italian",
"(U) ","iu","(U) ","Inuktitut",
"(U) ","ja","(U) ","Japanese",
"(U) ","jv","(U) ","Javanese",
"(U) ","ka","(U) ","Georgian",
"(U) ","kg","(U) ","Kongo",
"(U) ","ki","(U) ","Kikuyu",
"(U) ","kj","(U) ","Kuanyama",
"(U) ","kk","(U) ","Kazakh",
"(U) ","kl","(U) ","Kalaallisut",
"(U) ","km","(U) ","Central Khmer",
"(U) ","kn","(U) ","Kannada",
"(U) ","ko","(U) ","Korean",
"(U) ","kr","(U) ","Kanuri",
"(U) ","ks","(U) ","Kashmiri",
"(U) ","ku","(U) ","Kurdish",
"(U) ","kv","(U) ","Komi",
"(U) ","kw","(U) ","Cornish",
"(U) ","ky","(U) ","Kirghiz",
"(U) ","la","(U) ","Latin",
"(U) ","lb","(U) ","Luxembourgish",
"(U) ","lg","(U) ","Ganda",
"(U) ","li","(U) ","Limburgan",
"(U) ","ln","(U) ","Lingala",
"(U) ","lo","(U) ","Lao",
"(U) ","lt","(U) ","Lithuanian",
"(U) ","lu","(U) ","Luba-Katanga",
"(U) ","lv","(U) ","Latvian",
"(U) ","mg","(U) ","Malagasy",
"(U) ","mh","(U) ","Marshallese",
"(U) ","mi","(U) ","Maori",
"(U) ","mk","(U) ","Macedonian",
"(U) ","ml","(U) ","Malayalam",
"(U) ","mn","(U) ","Mongolian",
"(U) ","mr","(U) ","Marathi",
"(U) ","ms","(U) ","Malay (macrolanguage)",
"(U) ","mt","(U) ","Maltese",
"(U) ","my","(U) ","Burmese",
"(U) ","na","(U) ","Nauru",
"(U) ","nb","(U) ","Norwegian Bokmål",
"(U) ","nd","(U) ","North Ndebele",
"(U) ","ne","(U) ","Nepali",
"(U) ","ng","(U) ","Ndonga",
"(U) ","nl","(U) ","Dutch",
"(U) ","nn","(U) ","Norwegian Nynorsk",
"(U) ","no","(U) ","Norwegian",
"(U) ","nr","(U) ","South Ndebele",
"(U) ","nv","(U) ","Navajo",
"(U) ","ny","(U) ","Nyanja",
"(U) ","oc","(U) ","Occitan (post 1500)",
"(U) ","oj","(U) ","Ojibwa",
"(U) ","om","(U) ","Oromo",
"(U) ","or","(U) ","Oriya",
"(U) ","os","(U) ","Ossetian",
"(U) ","pa","(U) ","Panjabi",
"(U) ","pi","(U) ","Pali",
"(U) ","pl","(U) ","Polish",
"(U) ","ps","(U) ","Pushto",
"(U) ","pt","(U) ","Portuguese",
"(U) ","qu","(U) ","Quechua",
"(U) ","rm","(U) ","Romansh",
"(U) ","rn","(U) ","Rundi",
"(U) ","ro","(U) ","Romanian",
"(U) ","ru","(U) ","Russian",
"(U) ","rw","(U) ","Kinyarwanda",
"(U) ","sa","(U) ","Sanskrit",
"(U) ","sc","(U) ","Sardinian",
"(U) ","sd","(U) ","Sindhi",
"(U) ","se","(U) ","Northern Sami",
"(U) ","sg","(U) ","Sango",
"(U) ","si","(U) ","Sinhala",
"(U) ","sk","(U) ","Slovak",
"(U) ","sl","(U) ","Slovenian",
"(U) ","sm","(U) ","Samoan",
"(U) ","sn","(U) ","Shona",
"(U) ","so","(U) ","Somali",
"(U) ","sq","(U) ","Albanian",
"(U) ","sr","(U) ","Serbian",
"(U) ","ss","(U) ","Swati",
"(U) ","st","(U) ","Southern Sotho",
"(U) ","su","(U) ","Sundanese",
"(U) ","sv","(U) ","Swedish",
"(U) ","sw","(U) ","Swahili (macrolanguage)",
"(U) ","ta","(U) ","Tamil",
