"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","1AA","(U) ","Artic Ocean",
"(U) ","1BA","(U) ","Barents Sea",
"(U) ","1CA","(U) ","Beaufort Sea",
"(U) ","1CB","(U) ","Amundsen Gulf",
"(U) ","1CC","(U) ","Cumberland Sound",
"(U) ","1CD","(U) ","Foxe Basin",
"(U) ","1CE","(U) ","Gulf of Botthia",
"(U) ","1CF","(U) ","Hudson Bay",
"(U) ","1CG","(U) ","Hudson Strait",
"(U) ","1CH","(U) ","James Bay",
"(U) ","1CJ","(U) ","Larsen Sound",
"(U) ","1CK","(U) ","McClure Strait",
"(U) ","1CL","(U) ","MClintock Channel",
"(U) ","1CM","(U) ","Northwest Passage",
"(U) ","1CN","(U) ","Prince Gustav Adolf Sea",
"(U) ","1CP","(U) ","Queen Maud Gulf",
"(U) ","1CQ","(U) ","Viscount Melville Sound",
"(U) ","1DA","(U) ","Chukchi Sea",
"(U) ","1EA","(U) ","East Siberian Sea",
"(U) ","1FA","(U) ","Greenland Sea",
"(U) ","1GA","(U) ","Kara Sea",
"(U) ","1HA","(U) ","Laptev Sea",
"(U) ","1JA","(U) ","Lincoln Sea",
"(U) ","1JB","(U) ","Kane Basin",
"(U) ","1JC","(U) ","Baffin Bay",
"(U) ","1JD","(U) ","David Strait",
"(U) ","1KA","(U) ","Norwegian Sea",
"(U) ","1LA","(U) ","White Sea",
"(U) ","2AA","(U) ","North Pacific Ocean",
"(U) ","2AB","(U) ","Bohol Sea",
"(U) ","2AC","(U) ","Cook Inlet",
"(U) ","2AD","(U) ","Gulf of Alaska",
"(U) ","2AE","(U) ","Gulf of California",
"(U) ","2AF","(U) ","Gulf of Panama",
"(U) ","2AG","(U) ","Hecate Strait",
"(U) ","2AH","(U) ","Queen Charlotte Sound",
"(U) ","2BA","(U) ","Berin Sea",
"(U) ","2BB","(U) ","Bering Strait",
"(U) ","2BC","(U) ","Anadyrskiy Zaliv Strait",
"(U) ","2BD","(U) ","Bristol Bay",
"(U) ","2CA","(U) ","Celebes Sea",
"(U) ","2DA","(U) ","East China Sea",
"(U) ","2DB","(U) ","Taiwan Strait",
"(U) ","2EA","(U) ","Philipine Sea",
"(U) ","2EB","(U) ","Luzon Strait",
"(U) ","2FA","(U) ","Sea of Japan",
"(U) ","2FB","(U) ","Korea Strait",
"(U) ","2FC","(U) ","Tatar Strait",
"(U) ","2FD","(U) ","Tsushima Strait",
"(U) ","2GA","(U) ","Sea of Okhotsk",
"(U) ","2GB","(U) ","Zaliv Shelikhova",
"(U) ","2HA","(U) ","South China Sea",
"(U) ","2HB","(U) ","Gulf of Thailand",
"(U) ","2HC","(U) ","Gulf of Tonkin",
"(U) ","2JA","(U) ","Sulu Sea",
"(U) ","2KA","(U) ","Yellow Sea",
"(U) ","2KB","(U) ","Bo Hai",
"(U) ","2KC","(U) ","Korea Bay",
"(U) ","3AA","(U) ","South Pacific Ocean",
"(U) ","3AB","(U) ","Teluk Cenderawasih",
"(U) ","3BA","(U) ","Arafura Sea",
"(U) ","3BB","(U) ","Gulf of Carpentaria",
"(U) ","3BC","(U) ","Torres Strait",
"(U) ","3CA","(U) ","Bali Sea",
"(U) ","3DA","(U) ","Banda Sea",
"(U) ","3DB","(U) ","Teluk Bone",
"(U) ","3EA","(U) ","Bellingshausen Sea",
"(U) ","3FA","(U) ","Bismarck Sea",
"(U) ","3GA","(U) ","Coral Sea",
"(U) ","3GB","(U) ","Gulf of Papua",
"(U) ","3HA","(U) ","Flores Sea",
"(U) ","3JA","(U) ","Halmahera Sea",
"(U) ","3JB","(U) ","Makassar Strait Sea",
"(U) ","3KA","(U) ","Java Sea",
"(U) ","3KB","(U) ","Selat Karimata",
"(U) ","3LA","(U) ","Maluku Sea",
"(U) ","3LB","(U) ","Teluk Tomini",
"(U) ","3MA","(U) ","Natuna Sea",
"(U) ","3NA","(U) ","Seram Sea",
"(U) ","3PA","(U) ","Solomon Sea",
"(U) ","3QA","(U) ","Tasman Sea",
"(U) ","3QB","(U) ","Bass Strait",
"(U) ","3QC","(U) ","Cook Strait",
"(U) ","4AA","(U) ","North Atlantic Ocean",
"(U) ","4AB","(U) ","Bay of Biscay",
"(U) ","4AC","(U) ","Bay of Fundy",
"(U) ","4AD","(U) ","Bight of Benin",
"(U) ","4AE","(U) ","Bristol Channel",
"(U) ","4AF","(U) ","Denmark Strait",
"(U) ","4AG","(U) ","English Channel",
"(U) ","4AH","(U) ","Gulf of Guinea",
"(U) ","4AJ","(U) ","Gulf of Mexico",
"(U) ","4AK","(U) ","Straits of Florida",
"(U) ","4BA","(U) ","Baltic Sea",
