"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","application/1d-interleaved-parityfec","(U) ","1d-interleaved-parityfec",
"(U) ","application/3gpdash-qoe-report+xml","(U) ","3gpdash-qoe-report+xml",
"(U) ","application/3gpp-ims+xml","(U) ","3gpp-ims+xml",
"(U) ","application/A2L","(U) ","A2L",
"(U) ","application/AML","(U) ","AML",
"(U) ","application/ATF","(U) ","ATF",
"(U) ","application/ATFX","(U) ","ATFX",
"(U) ","application/ATXML","(U) ","ATXML",
"(U) ","application/CALS-1840","(U) ","CALS-1840",
"(U) ","application/CDFX+XML","(U) ","CDFX+XML",
"(U) ","application/CEA","(U) ","CEA",
"(U) ","application/CSTAdata+xml","(U) ","CSTAdata+xml",
"(U) ","application/DCD","(U) ","DCD",
"(U) ","application/DII","(U) ","DII",
"(U) ","application/DIT","(U) ","DIT",
"(U) ","application/EDI-X12","(U) ","EDI-X12",
"(U) ","application/EDI-consent","(U) ","EDI-consent",
"(U) ","application/EDIFACT","(U) ","EDIFACT",
"(U) ","application/EmergencyCallData.Comment+xml","(U) ","EmergencyCallData.Comment+xml",
"(U) ","application/EmergencyCallData.DeviceInfo+xml","(U) ","EmergencyCallData.DeviceInfo+xml",
"(U) ","application/EmergencyCallData.ProviderInfo+xml","(U) ","EmergencyCallData.ProviderInfo+xml",
"(U) ","application/EmergencyCallData.ServiceInfo+xml","(U) ","EmergencyCallData.ServiceInfo+xml",
"(U) ","application/EmergencyCallData.SubscriberInfo+xml","(U) ","EmergencyCallData.SubscriberInfo+xml",
"(U) ","application/H224","(U) ","H224",
"(U) ","application/IOTP","(U) ","iotp",
"(U) ","application/ISUP","(U) ","isup",
"(U) ","application/LXF","(U) ","LXF",
"(U) ","application/MF4","(U) ","MF4",
"(U) ","application/ODA","(U) ","oda",
"(U) ","application/ODX","(U) ","ODX",
"(U) ","application/PDX","(U) ","PDX",
"(U) ","application/QSIG","(U) ","qsig",
"(U) ","application/SGML","(U) ","sgml",
"(U) ","application/activemessage","(U) ","activemessage",
"(U) ","application/alto-costmap+json","(U) ","alto-costmap+json",
"(U) ","application/alto-costmapfilter+json","(U) ","alto-costmapfilter+json",
"(U) ","application/alto-directory+json","(U) ","alto-directory+json",
"(U) ","application/alto-endpointcost+json","(U) ","alto-endpointcost+json",
"(U) ","application/alto-endpointcostparams+json","(U) ","alto-endpointcostparams+json",
"(U) ","application/alto-endpointprop+json","(U) ","alto-endpointprop+json",
"(U) ","application/alto-endpointpropparams+json","(U) ","alto-endpointpropparams+json",
"(U) ","application/alto-error+json","(U) ","alto-error+json",
"(U) ","application/alto-networkmap+json","(U) ","alto-networkmap+json",
"(U) ","application/alto-networkmapfilter+json","(U) ","alto-networkmapfilter+json",
"(U) ","application/andrew-inset","(U) ","andrew-inset",
"(U) ","application/applefile","(U) ","applefile",
"(U) ","application/atom+xml","(U) ","atom+xml",
"(U) ","application/atomcat+xml","(U) ","atomcat+xml",
"(U) ","application/atomdeleted+xml","(U) ","atomdeleted+xml",
"(U) ","application/atomicmail","(U) ","atomicmail",
"(U) ","application/atomsvc+xml","(U) ","atomsvc+xml",
"(U) ","application/auth-policy+xml","(U) ","auth-policy+xml",
"(U) ","application/bacnet-xdd+zip","(U) ","bacnet-xdd+zip",
"(U) ","application/batch-SMTP","(U) ","batch-SMTP",
"(U) ","application/beep+xml","(U) ","beep+xml",
"(U) ","application/calendar+json","(U) ","calendar+json",
"(U) ","application/calendar+xml","(U) ","calendar+xml",
"(U) ","application/call-completion","(U) ","call-completion",
"(U) ","application/cbor","(U) ","cbor",
"(U) ","application/ccmp+xml","(U) ","ccmp+xml",
"(U) ","application/ccxml+xml","(U) ","ccxml+xml",
"(U) ","application/cdmi-capability","(U) ","cdmi-capability",
"(U) ","application/cdmi-container","(U) ","cdmi-container",
"(U) ","application/cdmi-domain","(U) ","cdmi-domain",
"(U) ","application/cdmi-object","(U) ","cdmi-object",
"(U) ","application/cdmi-queue","(U) ","cdmi-queue",
"(U) ","application/cdni","(U) ","cdni",
"(U) ","application/cea-2018+xml","(U) ","cea-2018+xml",
"(U) ","application/cellml+xml","(U) ","cellml+xml",
"(U) ","application/cfw","(U) ","cfw",
"(U) ","application/cms","(U) ","cms",
"(U) ","application/cnrp+xml","(U) ","cnrp+xml",
"(U) ","application/coap-group+json","(U) ","coap-group+json",
"(U) ","application/commonground","(U) ","commonground",
"(U) ","application/conference-info+xml","(U) ","conference-info+xml",
"(U) ","application/cpl+xml","(U) ","cpl+xml",
"(U) ","application/csrattrs","(U) ","csrattrs",
"(U) ","application/csta+xml","(U) ","csta+xml",
"(U) ","application/csvm+json","(U) ","csvm+json",
"(U) ","application/cybercash","(U) ","cybercash",
"(U) ","application/dash+xml","(U) ","dash+xml",
"(U) ","application/dashdelta","(U) ","dashdelta",
"(U) ","application/davmount+xml","(U) ","davmount+xml",
"(U) ","application/dca-rft","(U) ","dca-rft",
"(U) ","application/dec-dx","(U) ","dec-dx",
"(U) ","application/dialog-info+xml","(U) ","dialog-info+xml",
"(U) ","application/dicom","(U) ","dicom",
"(U) ","application/dns","(U) ","dns",
"(U) ","application/dskpp+xml","(U) ","dskpp+xml",
"(U) ","application/dssc+der","(U) ","dssc+der",
"(U) ","application/dssc+xml","(U) ","dssc+xml",
"(U) ","application/dvcs","(U) ","dvcs",
"(U) ","application/ecmascript","(U) ","ecmascript",
"(U) ","application/efi","(U) ","efi",
"(U) ","application/emma+xml","(U) ","emma+xml",
"(U) ","application/emotionml+xml","(U) ","emotionml+xml",
"(U) ","application/encaprtp","(U) ","encaprtp",
"(U) ","application/epp+xml","(U) ","epp+xml",
"(U) ","application/epub+zip","(U) ","epub+zip",
"(U) ","application/eshop","(U) ","eshop",
"(U) ","application/example","(U) ","example",
"(U) ","application/exi","(U) ","exi",
"(U) ","application/fastinfoset","(U) ","fastinfoset",
"(U) ","application/fastsoap","(U) ","fastsoap",
"(U) ","application/fdt+xml","(U) ","fdt+xml",
"(U) ","application/fits","(U) ","fits",
"(U) ","application/font-sfnt","(U) ","font-sfnt",
"(U) ","application/font-tdpfr","(U) ","font-tdpfr",
"(U) ","application/font-woff","(U) ","font-woff",
"(U) ","application/framework-attributes+xml","(U) ","framework-attributes+xml",
"(U) ","application/gzip","(U) ","gzip",
"(U) ","application/held+xml","(U) ","held+xml",
"(U) ","application/http","(U) ","http",
"(U) ","application/hyperstudio","(U) ","hyperstudio",
"(U) ","application/ibe-key-request+xml","(U) ","ibe-key-request+xml",
"(U) ","application/ibe-pkg-reply+xml","(U) ","ibe-pkg-reply+xml",
"(U) ","application/ibe-pp-data","(U) ","ibe-pp-data",
"(U) ","application/iges","(U) ","iges",
"(U) ","application/im-iscomposing+xml","(U) ","im-iscomposing+xml",
"(U) ","application/index","(U) ","index",
"(U) ","application/index-obj","(U) ","index.obj",
"(U) ","application/index.cmd","(U) ","index.cmd",
"(U) ","application/index.response","(U) ","index.response",
"(U) ","application/index.vnd","(U) ","index.vnd",
"(U) ","application/inkml+xml","(U) ","inkml+xml",
"(U) ","application/ipfix","(U) ","ipfix",
"(U) ","application/ipp","(U) ","ipp",
"(U) ","application/its+xml","(U) ","its+xml",
"(U) ","application/javascript","(U) ","javascript",
"(U) ","application/jose","(U) ","jose",
"(U) ","application/jose+json","(U) ","jose+json",
"(U) ","application/jrd+json","(U) ","jrd+json",
"(U) ","application/json","(U) ","json",
"(U) ","application/json-patch+json","(U) ","json-patch+json",
"(U) ","application/json-seq","(U) ","json-seq",
"(U) ","application/jwk+json","(U) ","jwk+json",
"(U) ","application/jwk-set+json","(U) ","jwk-set+json",
"(U) ","application/jwt","(U) ","jwt",
"(U) ","application/kpml-request+xml","(U) ","kpml-request+xml",
"(U) ","application/kpml-response+xml","(U) ","kpml-response+xml",
"(U) ","application/ld+json","(U) ","ld+json",
"(U) ","application/link-format","(U) ","link-format",
"(U) ","application/load-control+xml","(U) ","load-control+xml",
"(U) ","application/lost+xml","(U) ","lost+xml",
"(U) ","application/lostsync+xml","(U) ","lostsync+xml",
"(U) ","application/mac-binhex40","(U) ","mac-binhex40",
"(U) ","application/macwriteii","(U) ","macwriteii",
"(U) ","application/mads+xml","(U) ","mads+xml",
"(U) ","application/marc","(U) ","marc",
"(U) ","application/marcxml+xml","(U) ","marcxml+xml",
"(U) ","application/mathematica","(U) ","mathematica",
"(U) ","application/mathml+xml","(U) ","mathml+xml",
"(U) ","application/mathml-content+xml","(U) ","mathml-content+xml",
"(U) ","application/mathml-presentation+xml","(U) ","mathml-presentation+xml",
"(U) ","application/mbms-associated-procedure-description+xml","(U) ","mbms-associated-procedure-description+xml",
"(U) ","application/mbms-deregister+xml","(U) ","mbms-deregister+xml",
"(U) ","application/mbms-envelope+xml","(U) ","mbms-envelope+xml",
"(U) ","application/mbms-msk+xml","(U) ","mbms-msk+xml",
"(U) ","application/mbms-msk-response+xml","(U) ","mbms-msk-response+xml",
"(U) ","application/mbms-protection-description+xml","(U) ","mbms-protection-description+xml",
"(U) ","application/mbms-reception-report+xml","(U) ","mbms-reception-report+xml",
"(U) ","application/mbms-register+xml","(U) ","mbms-register+xml",
"(U) ","application/mbms-register-response+xml","(U) ","mbms-register-response+xml",
"(U) ","application/mbms-schedule+xml","(U) ","mbms-schedule+xml",
"(U) ","application/mbms-user-service-description+xml","(U) ","mbms-user-service-description+xml",
"(U) ","application/mbox","(U) ","mbox",
"(U) ","application/media-policy-dataset+xml","(U) ","media-policy-dataset+xml",
"(U) ","application/media_control+xml","(U) ","media_control+xml",
"(U) ","application/mediaservercontrol+xml","(U) ","mediaservercontrol+xml",
"(U) ","application/merge-patch+json","(U) ","merge-patch+json",
"(U) ","application/metalink4+xml","(U) ","metalink4+xml",
"(U) ","application/mets+xml","(U) ","mets+xml",
"(U) ","application/mikey","(U) ","mikey",
"(U) ","application/mods+xml","(U) ","mods+xml",
"(U) ","application/moss-keys","(U) ","moss-keys",
"(U) ","application/moss-signature","(U) ","moss-signature",
"(U) ","application/mosskey-data","(U) ","mosskey-data",
"(U) ","application/mosskey-request","(U) ","mosskey-request",
"(U) ","application/mp21","(U) ","mp21",
"(U) ","application/mp4","(U) ","mp4",
"(U) ","application/mpeg4-generic","(U) ","mpeg4-generic",
"(U) ","application/mpeg4-iod","(U) ","mpeg4-iod",
"(U) ","application/mpeg4-iod-xmt","(U) ","mpeg4-iod-xmt",
"(U) ","application/mrb-consumer+xml","(U) ","mrb-consumer+xml",
"(U) ","application/mrb-publish+xml","(U) ","mrb-publish+xml",
"(U) ","application/msc-ivr+xml","(U) ","msc-ivr+xml",
"(U) ","application/msc-mixer+xml","(U) ","msc-mixer+xml",
"(U) ","application/msword","(U) ","msword",
"(U) ","application/mxf","(U) ","mxf",
"(U) ","application/nasdata","(U) ","nasdata",
"(U) ","application/news-checkgroups","(U) ","news-checkgroups",
"(U) ","application/news-groupinfo","(U) ","news-groupinfo",
"(U) ","application/news-transmission","(U) ","news-transmission",
"(U) ","application/nlsml+xml","(U) ","nlsml+xml",
"(U) ","application/nss","(U) ","nss",
"(U) ","application/ocsp-request","(U) ","ocsp-request",
"(U) ","application/ocsp-response","(U) ","ocsp-response",
"(U) ","application/octet-stream","(U) ","octet-stream",
"(U) ","application/oebps-package+xml","(U) ","oebps-package+xml",
"(U) ","application/ogg","(U) ","ogg",
"(U) ","application/oxps","(U) ","oxps",
"(U) ","application/p2p-overlay+xml","(U) ","p2p-overlay+xml",
"(U) ","application/parityfec","(U) ","parityfec",
"(U) ","application/patch-ops-error+xml","(U) ","patch-ops-error+xml",
"(U) ","application/pdf","(U) ","pdf",
"(U) ","application/pgp-encrypted","(U) ","pgp-encrypted",
"(U) ","application/pgp-keys","(U) ","pgp-keys",
"(U) ","application/pgp-signature","(U) ","pgp-signature",
"(U) ","application/pidf+xml","(U) ","pidf+xml",
"(U) ","application/pidf-diff+xml","(U) ","pidf-diff+xml",
"(U) ","application/pkcs10","(U) ","pkcs10",
"(U) ","application/pkcs12","(U) ","pkcs12",
"(U) ","application/pkcs7-mime","(U) ","pkcs7-mime",
"(U) ","application/pkcs7-signature","(U) ","pkcs7-signature",
"(U) ","application/pkcs8","(U) ","pkcs8",
"(U) ","application/pkix-attr-cert","(U) ","pkix-attr-cert",
"(U) ","application/pkix-cert","(U) ","pkix-cert",
"(U) ","application/pkix-crl","(U) ","pkix-crl",
"(U) ","application/pkix-pkipath","(U) ","pkix-pkipath",
"(U) ","application/pkixcmp","(U) ","pkixcmp",
"(U) ","application/pls+xml","(U) ","pls+xml",
"(U) ","application/poc-settings+xml","(U) ","poc-settings+xml",
"(U) ","application/postscript","(U) ","postscript",
"(U) ","application/ppsp-tracker+json","(U) ","ppsp-tracker+json",
"(U) ","application/problem+json","(U) ","problem+json",
"(U) ","application/problem+xml","(U) ","problem+xml",
"(U) ","application/provenance+xml","(U) ","provenance+xml",
"(U) ","application/prs.alvestrand.titrax-sheet","(U) ","prs.alvestrand.titrax-sheet",
"(U) ","application/prs.cww","(U) ","prs.cww",
"(U) ","application/prs.hpub+zip","(U) ","prs.hpub+zip",
"(U) ","application/prs.nprend","(U) ","prs.nprend",
"(U) ","application/prs.plucker","(U) ","prs.plucker",
"(U) ","application/prs.rdf-xml-crypt","(U) ","prs.rdf-xml-crypt",
"(U) ","application/prs.xsf+xml","(U) ","prs.xsf+xml",
"(U) ","application/pskc+xml","(U) ","pskc+xml",
"(U) ","application/raptorfec","(U) ","raptorfec",
"(U) ","application/rdap+json","(U) ","rdap+json",
"(U) ","application/rdf+xml","(U) ","rdf+xml",
"(U) ","application/reginfo+xml","(U) ","reginfo+xml",
"(U) ","application/relax-ng-compact-syntax","(U) ","relax-ng-compact-syntax",
"(U) ","application/remote-printing","(U) ","remote-printing",
"(U) ","application/reputon+json","(U) ","reputon+json",
"(U) ","application/resource-lists+xml","(U) ","resource-lists+xml",
"(U) ","application/resource-lists-diff+xml","(U) ","resource-lists-diff+xml",
"(U) ","application/rfc+xml","(U) ","rfc+xml",
"(U) ","application/riscos","(U) ","riscos",
"(U) ","application/rlmi+xml","(U) ","rlmi+xml",
"(U) ","application/rls-services+xml","(U) ","rls-services+xml",
"(U) ","application/rpki-ghostbusters","(U) ","rpki-ghostbusters",
"(U) ","application/rpki-manifest","(U) ","rpki-manifest",
"(U) ","application/rpki-roa","(U) ","rpki-roa",
"(U) ","application/rpki-updown","(U) ","rpki-updown",
"(U) ","application/rtf","(U) ","rtf",
"(U) ","application/rtploopback","(U) ","rtploopback",
"(U) ","application/rtx","(U) ","rtx",
"(U) ","application/samlassertion+xml","(U) ","samlassertion+xml",
"(U) ","application/samlmetadata+xml","(U) ","samlmetadata+xml",
"(U) ","application/sbml+xml","(U) ","sbml+xml",
"(U) ","application/scaip+xml","(U) ","scaip+xml",
"(U) ","application/scim+json","(U) ","scim+json",
"(U) ","application/scvp-cv-request","(U) ","scvp-cv-request",
"(U) ","application/scvp-cv-response","(U) ","scvp-cv-response",
"(U) ","application/scvp-vp-request","(U) ","scvp-vp-request",
"(U) ","application/scvp-vp-response","(U) ","scvp-vp-response",
"(U) ","application/sdp","(U) ","sdp",
"(U) ","application/sep+xml","(U) ","sep+xml",
"(U) ","application/sep-exi","(U) ","sep-exi",
"(U) ","application/session-info","(U) ","session-info",
"(U) ","application/set-payment","(U) ","set-payment",
"(U) ","application/set-payment-initiation","(U) ","set-payment-initiation",
"(U) ","application/set-registration","(U) ","set-registration",
"(U) ","application/set-registration-initiation","(U) ","set-registration-initiation",
"(U) ","application/sgml-open-catalog","(U) ","sgml-open-catalog",
"(U) ","application/shf+xml","(U) ","shf+xml",
"(U) ","application/sieve","(U) ","sieve",
