"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","CN","(U) ","Crime and Narcotics",
"(U) ","CST","(U) ","Cyber, Science, and Technology",
"(U) ","DI","(U) ","Defense Issues",
"(U) ","ET","(U) ","Economics, Trade, and Threat Finance",
"(U) ","EI","(U) ","Environment and Infrastructure",
"(U) ","HND","(U) ","Health and Natural Disasters",
"(U) ","IC","(U) ","Intelligence and Counterintelligence",
"(U) ","PSI","(U) ","Political and Societal Issues",
"(U) ","THS","(U) ","Terrorism and Homeland Security",
"(U) ","WPW","(U) ","Weapons Proliferation and WMD",
"(U) ","ANY","(U) ","ANY",

