"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ACTM","(U) ","Arms Control Treaty Monitoring",2022-03-24
"(U) ","ACWP","(U) ","Advanced Conventional Weapons",2019-03-04
"(U) ","BASE","(U) ","Baseline",2014-06-12
"(U) ","CBWD","(U) ","Weapons Development and Proliferation: Chemical and Biological",
"(U) ","CHTC","(U) ","Conflict, Atrocities, and Humanitarian Crises",
"(U) ","CINT","(U) ","Counterintelligence",
"(U) ","CNRE","(U) ","Climate, Natural Resources, and Energy Security",
"(U) ","CRIM","(U) ","Transnational Crime",
"(U) ","CYBR","(U) ","Cyber Threats",
"(U) ","DEMG","(U) ","Demographics, Migration, and Population Movements",
"(U) ","DEPS","(U) ","Democracy, Political Stability, and Human Rights",
"(U) ","DRUG","(U) ","Illicit Drugs",2018-08-07
"(U) ","ECFS","(U) ","Economic Stability and Threat Finance",2016-11-01
"(U) ","ECON","(U) ","Economics, Trade, Investment, and Supply Chain Resilience",
"(U) ","ENRF","(U) ","Environment, Natural Resources, and Food Security",2022-03-24
"(U) ","ENVR","(U) ","Environment and Natural Resources",2016-11-01
"(U) ","ESEC","(U) ","Energy Security",2022-03-24
"(U) ","FDND","(U) ","Foreign Denial and Deception",2018-08-07
"(U) ","FINT","(U) ","Interference and Influence Efforts",
"(U) ","FMCC","(U) ","Foreign Military Combat Capabilities",
"(U) ","FOOD","(U) ","Agriculture and Food Security",2016-11-01
"(U) ","FPLD","(U) ","Foreign Policy and Leadership Intentions",
"(U) ","FPOL","(U) ","Foreign Policy Objectives and Relations with the United States",2016-11-01
"(U) ","HAPR","(U) ","Hostage and Personnel Recovery Support",2022-03-24
"(U) ","HLTH","(U) ","Infectious Disease and Health Security",
"(U) ","HREL","(U) ","Humanitarian Disasters and Relief Operations",2022-03-24
"(U) ","HRWC","(U) ","Human Rights and War Crimes",2022-03-24
"(U) ","HSEC","(U) ","Homeland Security",2018-08-07
"(U) ","INFR","(U) ","Foreign Civilian Critical Infrastructure",
"(U) ","LEAD","(U) ","Leadership Intentions",2016-11-01
"(U) ","POWS","(U) ","Prisoners of War and Missing in Action",2016-02-07
"(U) ","SPCE","(U) ","Foreign Space Threats and Operations",
"(U) ","SRCC","(U) ","Regional Conflict and Crises",2022-03-24
"(U) ","STCM","(U) ","Strategic Competition",
"(U) ","TECH","(U) ","Emerging and Disruptive Technologies",
"(U) ","TERR","(U) ","Terrorism and Hostages",
"(U) ","TFIN","(U) ","Threat Finance",
"(U) ","TRAD","(U) ","International Trade",2016-11-01
"(U) ","WDPR","(U) ","Wrongful Detentions and Personnel Recovery",
"(U) ","WMDB","(U) ","WMD-Biological",2019-03-04
"(U) ","WMDC","(U) ","WMD-Chemical",2019-03-04
"(U) ","WMDM","(U) ","WMD-Missiles",2019-03-04
"(U) ","WMDN","(U) ","Weapons Development and Proliferation: Nuclear",
"(U) ","WPNS","(U) ","Weapons Development and Proliferation: Conventional",

