"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","adminOrganization","(U) ","uias:adminOrganizationType",
"(U) ","aICP","(U) ","uias:aICPType",
"(U) ","ATOStatus","(U) ","uias:ATOStatusType",
"(U) ","auditRoutingOrganization","(U) ","uias:auditRoutingOrganizationType",
"(U) ","authorityCategory","(U) ","uias:authorityCategoryType",
"(U) ","certificateAuthority","(U) ","uias:certificateAuthorityType",
"(U) ","clearance","(U) ","uias:clearanceType",
"(U) ","countryOfAffiliation","(U) ","uias:countryOfAffiliationType",
"(U) ","digitalIdentifier","(U) ","uias:digitalIdentifierType",
"(U) ","dutyOrganization","(U) ","uias:dutyOrganizationType",
"(U) ","dutyOrganizationUnit","(U) ","uias:dutyOrganizationUnitType",
"(U) ","entitySecurityMark","(U) ","uias:entitySecurityMarkType",
"(U) ","entityType","(U) ","uias:entityTypeType",
"(U) ","fineAccessControls","(U) ","uias:fineAccessControlsType",
"(U) ","group","(U) ","uias:groupType",
"(U) ","handlingControls","(U) ","uias:handlingControlsType",
"(U) ","icNetworks","(U) ","uias:icNetworksType",
"(U) ","isICMember","(U) ","uias:isICMemberType",
"(U) ","lifeCycleStatus","(U) ","uias:lifeCycleStatusType",
"(U) ","originatingNetwork","(U) ","uias:originatingNetworkType",
"(U) ","region","(U) ","uias:regionType",
"(U) ","role","(U) ","uias:roleType",
"(U) ","topic","(U) ","uias:topicType",

