"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","SECRET//NOFORN","(U) ","SECRET//NOFORN",
"(U) ","SECRET//REL TO USA, ACGU","(U) ","SECRET//REL TO USA, ACGU",
"(U) ","SECRET//REL TO USA, FVEY","(U) ","SECRET//REL TO USA, FVEY",
"(U) ","TOP SECRET//NOFORN","(U) ","TOP SECRET//NOFORN",
"(U) ","TOP SECRET//REL TO USA, ACGU","(U) ","TOP SECRET//REL TO USA, ACGU",
"(U) ","TOP SECRET//REL TO USA, FVEY","(U) ","TOP SECRET//REL TO USA, FVEY",
"(U) ","UNCLASSIFIED//FOUO/NOFORN","(U) ","UNCLASSIFIED//FOUO/NOFORN",
"(U) ","UNCLASSIFIED//FOUO/REL TO USA, ACGU","(U) ","UNCLASSIFIED//FOUO/REL TO USA, ACGU",
"(U) ","UNCLASSIFIED//FOUO/REL TO USA, FVEY","(U) ","UNCLASSIFIED//FOUO/REL TO USA, FVEY",

